,points,price,province,variety,winery,Year
109,87,18.0,Tuscany,Vermentino,Marchesi de' Frescobaldi,2015
110,87,26.0,California,Zinfandel,Martin Ranch,2014
111,87,30.0,Tuscany,Red Blend,Ornellaia,2014
113,87,85.0,California,Cabernet Sauvignon,PiÃ±a,2013
114,87,15.0,Tuscany,Red Blend,Podere Ciona,2014
116,87,18.0,California,Bordeaux-style Red Blend,Pull,2012
117,87,18.0,California,Chardonnay,Pull,2013
119,87,44.0,California,Syrah,Rideau,2014
121,92,80.0,Alsace,Riesling,Dopff & Irion,2004
122,92,70.0,Piemonte,Nebbiolo,Ceretto,2003
123,92,36.0,California,Chardonnay,Matrix,2007
125,92,39.0,California,Zinfandel,Mauritson,2007
127,92,45.0,California,Cabernet Sauvignon,Silverado,2006
129,91,48.0,Alsace,GewÃ¼rztraminer,Pierre Sparr,2007
130,91,13.0,Alsace,White Blend,Pierre Sparr,2008
131,91,17.0,Alsace,Pinot Blanc,Kuentz-Bas,2008
133,91,70.0,Piemonte,Nebbiolo,Ceretto,2003
136,91,68.0,Piemonte,Nebbiolo,Poderi Luigi Einaudi,2003
138,91,60.0,Piemonte,Nebbiolo,Giacomo Ascheri,2001
143,90,26.0,Piemonte,Barbera,Poderi Colla,2005
144,90,45.0,Piemonte,Nebbiolo,Giacomo Ascheri,2003
146,90,84.0,Alsace,Pinot Gris,Domaine Zind-Humbrecht,2007
147,91,85.0,California,Cabernet Sauvignon,Terra Valentine,2013
148,91,64.0,California,Pinot Noir,Testarossa,2013
149,91,68.0,California,Cabernet Sauvignon,Vincent Vineyards,2010
150,91,68.0,California,Cabernet Sauvignon,Vincent Vineyards,2012
152,91,35.0,California,RhÃ´ne-style Red Blend,Wrath,2013
155,91,55.0,California,Pinot Noir,Albatross Ridge,2012
156,91,46.0,California,Syrah,Alta Colina,2012
158,91,36.0,California,Syrah,Big Basin,2013
161,91,38.0,Tuscany,Sangiovese,Castello di Gabbiano,2012
164,91,35.0,California,Red Blend,Chronic Cellars,2013
165,91,28.0,California,Riesling,Claiborne & Churchill,2014
171,91,95.0,California,Merlot,Duckhorn,2012
172,91,44.0,California,Pinot Noir,Dutton-Goldfield,2014
175,91,38.0,Oregon,Pinot Noir,Le Cadeau,2014
179,88,22.0,Tuscany,Sangiovese,Isole e Olena,2005
180,88,25.0,California,Syrah,Kenwood,2005
181,88,27.0,Burgundy,Chardonnay,La Chablisienne,2006
182,88,23.0,California,Chardonnay,Manzoni,2006
183,88,36.0,California,Pinot Noir,McIntyre Vineyards,2006
186,88,35.0,California,Chardonnay,Anaba,2007
189,88,48.0,Sicilia,Red Blend,Abbazia Santa Anastasia,2003
195,87,20.0,Veneto,Red Blend,Aldegheri,2003
201,90,60.0,California,Cabernet Sauvignon,Sequum,2013
202,90,28.0,California,Cabernet Franc,Sierra Starr,2014
208,90,25.0,California,Chardonnay,J. Lohr,2015
209,90,25.0,California,Cabernet Sauvignon,Courtney Benham,2014
211,90,32.0,California,Zinfandel,Del Carlo Winery,2014
217,90,48.0,California,Red Blend,MCV,2014
218,90,36.0,California,RhÃ´ne-style Red Blend,Mounts,2014
220,90,57.0,Tuscany,Sangiovese,Podere Scopetone,2012
224,90,40.0,California,Chardonnay,Sixteen by Twenty,2014
232,85,15.0,New York,Pinot Noir,Wagner,2006
233,85,14.0,New York,Riesling,Treleaven,2006
234,85,18.0,California,Red Blend,Benessere,2005
235,85,16.0,New York,GewÃ¼rztraminer,Bloomer Creek,2006
238,85,28.0,Oregon,Pinot Noir,Silvan Ridge,2006
240,85,49.0,California,Syrah,Testarossa,2006
241,85,85.0,California,Cabernet Sauvignon,Meeker,2004
244,85,36.0,California,Cabernet Sauvignon,Dogwood,2005
246,85,34.0,California,Sangiovese,Falcor,2005
247,85,15.0,California,Chardonnay,Hayman & Hill,2007
248,85,30.0,New York,Chardonnay,Hermann J. Wiemer,2002
252,85,25.0,California,Merlot,Work,2004
253,85,45.0,Oregon,Pinot Noir,Amity,2006
255,85,49.0,California,Cabernet Sauvignon,Blue Rock,2005
256,85,22.0,Oregon,Pinot Noir,Cherry Hill,2006
259,89,45.0,California,Petite Sirah,David Fulton,2008
260,89,55.0,California,Pinot Noir,Esterlina,2009
265,89,40.0,Oregon,Pinot Noir,Willamette Valley Vineyards,2009
267,89,39.0,California,Red Blend,Beaver Creek,2008
268,89,60.0,California,Pinot Noir,Byron,2009
273,89,36.0,Veneto,White Blend,Marchesi Fumanelli,2005
279,89,13.0,Piemonte,White Blend,Pico Maccario,2010
281,89,20.0,California,Zinfandel,St. Francis,2009
282,89,30.0,California,Cabernet Sauvignon,Trailhead,2010
283,89,50.0,Oregon,Pinot Noir,Erath,2009
286,92,34.0,California,Pinot Noir,Cambria,2011
287,92,41.0,Tuscany,Red Blend,I Giusti e Zanza,2009
288,92,52.0,Oregon,Pinot Noir,J. Christopher,2011
291,92,60.0,California,Pinot Noir,Talley,2011
302,87,15.0,California,Cabernet Sauvignon,Aquinas,2008
304,87,28.0,California,Sangiovese,Benessere,2007
305,87,14.0,Washington,Chardonnay,Buried Cane,2009
307,87,56.0,Piemonte,Nebbiolo,Cascina Adelaide,2005
309,87,24.0,California,Zinfandel,Claudia Springs,2007
313,87,20.0,Piemonte,Nebbiolo,SocrÃ©,2006
314,87,18.0,Piemonte,Nebbiolo,Boffa,2006
316,87,40.0,California,Cabernet Sauvignon,Mount Veeder,2008
318,87,28.0,California,Cabernet Sauvignon,Robert Mondavi,2008
324,82,18.0,Alsace,Pinot Gris,Antoine MoltÃ¨s & Fils,2015
333,86,16.0,California,White Blend,Beringer,2007
334,86,34.0,California,Zinfandel,Brutocao,2006
335,86,40.0,California,Red Blend,Clos La Chance,2006
344,82,48.0,California,Zinfandel,Pezzi King,2013
355,96,68.0,California,Chardonnay,Rochioli,2014
358,96,68.0,California,Chardonnay,Rochioli,2014
365,95,60.0,Piemonte,Nebbiolo,Bel Colle,2012
368,95,48.0,Oregon,Pinot Noir,Winderlea,2014
372,88,11.0,Veneto,Garganega,Montresor,2001
376,88,10.0,Veneto,White Blend,Gini,2002
378,88,19.0,California,Sauvignon Blanc,Ceago Vinegarden,2001
379,88,40.0,Tuscany,Sangiovese,Valiano,1997
386,88,9.0,Veneto,Chardonnay,Tommasi,2001
388,88,18.0,California,Sauvignon Blanc,Vinoce,2001
389,88,34.0,California,Merlot,Merriam,2000
390,88,17.0,California,Sauvignon Blanc,Murphy-Goode,2000
391,88,25.0,California,Pinot Noir,Kynsi,1999
395,87,12.0,California,Sauvignon Blanc,Bridlewood,2000
399,85,16.0,California,Zinfandel,Cline,2007
407,85,45.0,California,Syrah,Vino V,2005
412,85,20.0,New York,GewÃ¼rztraminer,McGregor,2007
414,85,12.0,California,Cabernet Sauvignon,Morro Bay,2006
418,85,14.0,New York,Riesling,Red Newt Cellars,2007
419,85,11.0,California,Syrah,Cline,2015
425,89,30.0,Washington,Merlot,Guardian,2013
428,89,30.0,California,White Blend,Las Positas,2014
429,89,18.0,New York,RosÃ©,Lieb,2015
431,89,35.0,New York,Sparkling Blend,Macari,2010
433,89,42.0,Washington,Syrah,Milbrandt,2013
434,89,30.0,California,Sauvignon Blanc,Ojai,2014
435,89,24.0,California,Tempranillo,ONX,2015
436,89,16.0,Washington,Riesling,Pomum,2014
438,89,89.0,Piemonte,Nebbiolo,Revello Fratelli,2012
442,89,54.0,California,Bordeaux-style Red Blend,Trione,2012
445,89,38.0,Washington,Cabernet Sauvignon,Walla Walla Vintners,2013
447,89,35.0,New York,Cabernet Franc,WÃ¶lffer,2013
456,92,35.0,Tuscany,Sangiovese,Montemercurio,2007
460,92,40.0,California,Chardonnay,Robert Mondavi,2011
462,92,45.0,California,Pinot Noir,Rusack,2011
465,92,50.0,Oregon,Pinot Noir,Chehalem,2011
466,92,29.0,Oregon,Pinot Blanc,Chehalem,2012
467,92,66.0,Burgundy,Chardonnay,Henri de Villamont,2010
468,92,60.0,Champagne-Ardenne,Champagne Blend,Vollereaux,2007
470,92,69.0,Veneto,Red Blend,Valentina Cubi,2008
472,92,65.0,Oregon,Pinot Noir,Domaine Serene,2010
475,92,70.0,Champagne-Ardenne,Champagne Blend,H. Blin,2003
476,92,73.0,Burgundy,Pinot Noir,Henri de Villamont,2010
477,92,72.0,Burgundy,Pinot Noir,Henri de Villamont,2010
481,92,88.0,California,Red Blend,Castello di Amorosa,2009
482,92,65.0,Aquitaine,Bordeaux-style Red Blend,ChÃ¢teau Vray Croix de Gay,2010
485,87,45.0,Washington,Bordeaux-style Red Blend,Sparkman,2009
487,87,60.0,California,Pinot Noir,Babcock,2010
491,87,13.0,California,Cabernet Sauvignon,Lyeth,2010
497,87,30.0,Washington,Sangiovese,Zerba Cellars,2008
499,87,12.0,New York,Chardonnay,Knapp,2011
500,87,18.0,California,Chardonnay,Lava Cap,2010
503,87,17.0,California,Pinot Noir,Michael Pozzan,2010
508,87,19.0,California,Sauvignon Blanc,Hanna,2011
512,87,28.0,Washington,Syrah,Camaraderie,2009
513,87,28.0,Washington,Tempranillo,Camaraderie,2009
514,91,65.0,California,Red Blend,Beringer,2014
515,91,48.0,California,Chardonnay,Big Basin,2014
518,91,90.0,California,Cabernet Sauvignon,Conn Creek,2013
520,91,75.0,California,Pinot Noir,D.R. Stephens,2014
521,91,55.0,California,Pinot Noir,Davis Family,2014
522,91,55.0,California,Pinot Noir,Davis Family,2014
523,91,60.0,Burgundy,Pinot Noir,Domaine Jeannin-Naltet,2014
524,91,36.0,California,Grenache,Prospect 772,2014
526,91,35.0,California,Grenache,QupÃ©,2013
527,91,55.0,Oregon,Pinot Noir,Rex Hill,2014
528,91,65.0,Oregon,Pinot Noir,Ruby,2015
529,91,35.0,Washington,Syrah,Structure,2014
530,91,49.0,California,Chardonnay,Testarossa,2015
535,91,45.0,California,Pinot Noir,Joseph Jewell,2014
537,91,50.0,Oregon,Sparkling Blend,Le Cadeau,2011
538,91,50.0,Oregon,Pinot Noir,Le Cadeau,2015
539,91,50.0,Oregon,Pinot Noir,Le Cadeau,2015
540,91,38.0,California,Cabernet Sauvignon,Le Vigne,2014
542,91,50.0,Washington,Bordeaux-style Red Blend,Northstar,2013
544,91,45.0,Oregon,Pinot Noir,Paul O'Brien,2014
545,93,42.0,California,Pinot Noir,Claiborne & Churchill,2014
546,93,60.0,California,Pinot Noir,Flying Goat Cellars,2012
547,93,42.0,California,Pinot Noir,Flying Goat Cellars,2012
549,93,75.0,California,Cabernet Sauvignon,Midsummer Cellars,2013
550,93,54.0,California,Red Blend,ONX,2013
551,93,85.0,California,Cabernet Sauvignon,Les Belles Collines,2012
552,93,50.0,California,Chardonnay,Lutum,2014
554,93,85.0,California,Pinot Noir,Iron Horse,2013
555,93,90.0,Piemonte,Nebbiolo,Brandini,2011
556,93,35.0,California,Chardonnay,Artesa,2014
557,93,46.0,California,Zinfandel,Carlisle,2013
561,93,75.0,Washington,Cabernet Sauvignon,Passing Time,2013
563,93,40.0,California,Pinot Noir,Sanctuary,2013
564,93,25.0,California,White Blend,Terre Rouge,2014
566,93,45.0,California,Syrah,Limerick Lane,2013
567,93,50.0,California,Pinot Noir,Loring Wine Company,2014
568,93,65.0,California,Petite Sirah,Eighty Four,2010
569,93,48.0,California,Pinot Noir,Flying Goat Cellars,2012
570,93,62.0,California,Syrah,Four Lanterns,2013
571,93,100.0,California,Red Blend,Turiya,2011
572,93,53.0,California,Cabernet Sauvignon,World's End,2013
574,93,70.0,California,Cabernet Sauvignon,W.H. Smith,2012
575,89,38.0,Washington,Chardonnay,Alleromb,2014
576,89,50.0,Washington,Syrah,Ardor,2015
578,89,15.0,Piemonte,Dolcetto,Brezza,2015
581,89,14.0,Aquitaine,Bordeaux-style Red Blend,ChÃ¢teau de l'Aubrade,2015
583,89,17.0,New York,RosÃ©,Chateau Lafayette Reneau,2016
585,89,13.0,California,RosÃ©,Cupcake,2016
587,89,26.0,Washington,GewÃ¼rztraminer,Savage Grace,2016
588,89,18.0,Washington,Merlot,Seven Falls,2013
591,89,25.0,Washington,Chardonnay,Stevens,2016
594,89,18.0,California,Chardonnay,Trinity River,2015
596,89,17.0,California,Chardonnay,Vintage Cowboy,2016
598,89,41.0,Washington,Malbec,Kontos,2014
601,89,30.0,Washington,Cabernet Sauvignon,L'Ecole No. 41,2014
604,89,36.0,California,Sangiovese,Midnight,2013
605,87,20.0,California,Cabernet Sauvignon,Michael Pozzan,2010
608,87,69.0,California,Cabernet Sauvignon,Paoletti,2010
609,87,36.0,New York,Cabernet Franc,Peconic Bay Winery,2010
612,87,25.0,Oregon,Grenache,Quady North,2011
613,87,25.0,Oregon,Viognier,Quady North,2011
616,87,17.0,California,Sauvignon Blanc,Rodney Strong,2012
617,87,54.0,California,Pinot Noir,Saintsbury,2010
620,87,19.0,Veneto,Garganega,Suavia,2011
622,87,45.0,California,Chardonnay,B Cellars,2011
624,87,35.0,California,Merlot,Barlow,2009
627,87,28.0,California,Pinot Noir,Claiborne & Churchill,2010
632,87,23.0,Veneto,Garganega,Domenico Cavazza,2008
635,92,75.0,California,Pinot Noir,Walt,2013
636,92,48.0,Oregon,Pinot Noir,WillaKenzie Estate,2013
637,92,54.0,Alsace,GewÃ¼rztraminer,Willm,2011
638,92,34.0,Alsace,Riesling,Jean-Marc Bernhard,2013
640,92,48.0,California,Zinfandel,Armida,2013
644,92,36.0,Alsace,Riesling,Domaines Schlumberger,2010
645,92,30.0,Alsace,Pinot Gris,Domaines Schlumberger,2012
646,92,37.0,California,Chardonnay,Foxen,2014
647,92,25.0,California,Pinot Gris,Les Belles Collines,2014
650,92,40.0,California,Cabernet Sauvignon,Niner,2013
651,92,50.0,Oregon,Pinot Noir,Purple Hands,2014
655,92,75.0,California,Cabernet Sauvignon,Stone The Crows,2013
657,92,39.0,Alsace,Riesling,Kuentz-Bas,2014
659,92,35.0,California,Grenache,Scratch,2013
660,92,43.0,Alsace,Riesling,Sipp Mack,2014
661,92,30.0,California,Zinfandel,St. Amant,2013
662,92,70.0,Oregon,Pinot Noir,Stoller,2013
664,90,40.0,California,Chardonnay,Vine Cliff,2013
665,90,45.0,Washington,Cabernet Sauvignon,Va Piano,2012
666,90,80.0,California,Cabernet Sauvignon,Y Rousseau,2012
667,90,15.0,California,Pinot Grigio,Monte Volpe,2013
668,90,65.0,Piemonte,Nebbiolo,Palladino,2011
669,90,65.0,California,Cabernet Sauvignon,Paradise Ridge,2012
670,90,35.0,Piemonte,Dolcetto,Pecchenino,2013
672,90,25.0,Piemonte,Barbera,Poderi Colla,2013
673,90,20.0,Washington,Riesling,Poet's Leap,2014
675,90,26.0,New York,Riesling,Raphael,2014
676,90,30.0,Washington,Malbec,Seven Hills,2013
677,90,13.0,Washington,Cabernet Sauvignon,Snoqualmie,2013
678,90,45.0,California,Petite Sirah,Stags' Leap Winery,2012
679,90,26.0,New York,Riesling,The Grapes of Roth,2014
680,90,44.0,California,Pinot Noir,The Withers Winery,2013
681,90,38.0,California,Cabernet Sauvignon,Truchard,2012
682,90,28.0,California,Pinot Noir,Acacia,2013
683,90,32.0,Washington,Chardonnay,Array,2012
686,90,35.0,Washington,Cabernet Sauvignon,Barrister,2012
688,90,42.0,Washington,Syrah,Bunnell,2011
690,90,70.0,Tuscany,Red Blend,Castello di Querceto,2010
691,90,30.0,Washington,Cabernet Sauvignon,Chateau Ste. Michelle,2012
692,90,75.0,California,Pinot Noir,Cobb,2012
693,90,53.0,Piemonte,Nebbiolo,Comm. G. B. Burlotto,2011
694,90,29.0,California,Chardonnay,Cooper-Garrod,2012
695,91,90.0,Washington,Cabernet Sauvignon,Mosquito Fleet,2011
696,91,35.0,California,Red Blend,Nadia,2012
698,91,50.0,California,Malbec,Nottingham Cellars,2012
699,91,35.0,Tuscany,Red Blend,Poggio Argentiera,2012
700,91,65.0,California,Cabernet Franc,Pride Mountain,2012
702,91,43.0,Tuscany,Red Blend,Ruffino,2010
705,91,20.0,Washington,Bordeaux-style Red Blend,Woodinville Wine Cellars,2012
716,91,38.0,California,Zinfandel,Dry Creek Vineyard,2012
718,91,23.0,California,Sauvignon Blanc,Dutton Estate,2013
719,91,48.0,California,Pinot Noir,Failla,2013
720,91,32.0,California,Pinot Noir,Friedeman,2013
732,85,80.0,Piemonte,Nebbiolo,Paolo Manzone,2012
737,85,16.0,California,Cabernet Sauvignon,Jack's House,2013
739,85,22.0,Burgundy,Pinot Noir,Domaine Michel Goubard,2014
743,85,32.0,California,Tempranillo,Felten Cellars,2013
746,84,13.0,California,Chardonnay,Scotto Family Cellars,2012
751,85,33.0,California,Zinfandel,Pech Merle,2013
752,85,48.0,Piemonte,Nebbiolo,Punset,2011
755,87,24.0,California,Pinot Noir,William Knuttel,2007
756,87,75.0,New York,Cabernet Franc,Casa Larga,2008
757,87,12.0,Alsace,Riesling,Cave de Beblenheim,2009
758,87,45.0,California,Pinot Noir,De Loach,2008
761,87,22.0,California,Chardonnay,Center of Effort,2008
763,87,18.0,California,GewÃ¼rztraminer,Handley,2009
764,87,35.0,California,Zinfandel,Kuleto Estate,2008
765,87,36.0,California,Pinot Noir,Lane Tanner,2009
766,87,34.0,California,Pinot Noir,MacRostie,2008
768,87,70.0,California,Syrah,Monte De Oro,2006
769,87,28.0,California,Syrah,Mounts,2008
780,92,40.0,California,Sparkling Blend,Iron Horse,2007
783,92,70.0,Oregon,Pinot Noir,Patton Valley,2010
784,92,48.0,Oregon,Pinot Noir,Patton Valley,2010
785,92,72.0,Champagne-Ardenne,Chardonnay,Pierre Gimonnet et Fils,2005
789,92,50.0,Tuscany,White Blend,Castello d'Albola,2003
791,92,35.0,California,Sparkling Blend,Laetitia,2008
792,92,38.0,California,Zinfandel,Bella,2009
799,90,17.0,Washington,Cabernet Sauvignon,Barnard Griffin,2014
800,90,85.0,Oregon,Pinot Noir,Beacon Hill,2013
801,90,30.0,Aquitaine,Bordeaux-style Red Blend,Bernard Magrez,2012
802,90,34.0,Washington,Red Blend,Brian Carter Cellars,2012
806,90,45.0,Aquitaine,Bordeaux-style Red Blend,ChÃ¢teau Haut-Logat,2014
808,90,17.0,Aquitaine,Bordeaux-style Red Blend,ChÃ¢teau Mayne Vieil,2014
810,90,20.0,California,Cabernet Sauvignon,Chessman,2014
813,90,39.0,Washington,Merlot,Efeste,2013
814,90,35.0,Washington,Chardonnay,Efeste,2014
815,90,15.0,Oregon,Riesling,Firesteed,2012
816,90,27.0,California,Chardonnay,Iron Hub,2014
822,90,42.0,California,Syrah,Donkey & Goat,2013
823,86,18.0,Washington,Sauvignon Blanc,Finn Hill,2013
824,86,22.0,New York,GewÃ¼rztraminer,Keuka Spring,2013
830,86,20.0,Tuscany,Sangiovese,Ridolfi,2012
831,86,28.0,California,Malbec,Still Waters,2010
832,86,10.0,California,Merlot,Stomping Ground,2010
834,86,28.0,Tuscany,Sangiovese,Tenuta San Giorgio,2012
837,86,26.0,Washington,Viognier,Columbia Winery,2013
841,86,30.0,Piemonte,Nebbiolo,Dosio,2012
846,86,36.0,Washington,Syrah,Kontos,2011
847,86,20.0,New York,Riesling,Lamoreaux Landing,2013
849,86,10.0,California,Chardonnay,Leaping Horse,2013
851,86,25.0,Washington,Cabernet Franc,Maryhill,2011
855,90,33.0,Alsace,Pinot Noir,Domaine Bott-Geyl,2012
857,90,70.0,Burgundy,Pinot Noir,Domaine Faiveley,2014
862,90,20.0,California,Zinfandel,Easton,2014
864,90,35.0,California,Chardonnay,Edna Valley Vineyard,2013
866,90,28.0,California,Syrah,Fess Parker,2013
867,90,15.0,Oregon,Pinot Gris,Firesteed,2014
869,90,45.0,California,Cabernet Franc,Gershon Bachus,2009
876,90,40.0,Oregon,Pinot Noir,Carabella,2013
878,90,42.0,California,Grenache,Casa Dumetz,2014
879,90,29.0,California,Syrah,Greenwood Ridge,2013
880,90,42.0,California,Merlot,Herencia,2013
886,90,35.0,Aquitaine,Bordeaux-style Red Blend,ChÃ¢teau Bel-Air Ortet,2009
888,90,20.0,California,Syrah,Cline,2008
890,90,22.0,California,Cabernet Sauvignon,Fuse,2009
893,90,27.0,California,Petite Sirah,Kokomo,2008
896,90,72.0,Washington,Cabernet Franc,Owen Roe,2009
900,90,58.0,Washington,Bordeaux-style Red Blend,Bergevin Lane,2008
903,90,29.0,Tuscany,Sangiovese,Jacopo Biondi-Santi,2008
904,90,45.0,Tuscany,Red Blend,Le Buche,2006
905,90,70.0,California,Syrah,Leonesse Cellars,2007
906,90,39.0,Washington,Syrah,Market Vineyards,2008
908,90,28.0,Tuscany,Sangiovese,Mazzei,2009
913,87,50.0,Piemonte,Nebbiolo,Boffa,2013
917,87,39.0,Piemonte,Nebbiolo,Cascina Bruciata,2013
918,87,35.0,Piemonte,Nebbiolo,Castello di Neive,2013
921,87,18.0,Oregon,RosÃ©,Fullerton,2015
925,87,25.0,Oregon,Pinot Noir,Coelho,2014
926,87,20.0,Oregon,Pinot Gris,Coelho,2015
927,87,50.0,Piemonte,Nebbiolo,Deltetto,2012
938,87,60.0,Piemonte,Nebbiolo,Battaglio,2013
939,87,20.0,California,Zinfandel,Bella Grace,2013
941,87,35.0,Piemonte,Nebbiolo,Borgogno F.lli Serio e Battista,2012
942,87,14.0,Aquitaine,Bordeaux-style Red Blend,ChÃ¢teau les Petits Arnauds,2014
946,87,40.0,Oregon,Chardonnay,Chehalem,2013
947,87,29.0,Oregon,Pinot Blanc,Chehalem,2015
949,87,55.0,California,Bordeaux-style Red Blend,Cuda Ridge Wines,2013
952,87,34.0,California,Pinot Noir,Ektimo Vineyards,2014
954,87,27.0,Oregon,Viognier,Folin Cellars,2015
955,87,17.0,California,Chardonnay,Francis Coppola,2014
956,87,65.0,California,Sangiovese,Frank Family,2013
959,87,23.0,Piemonte,Nebbiolo,Travaglini,2014
960,87,40.0,California,Chardonnay,Vine Cliff,2014
961,87,32.0,California,Petit Verdot,Yorkville Cellars,2013
963,87,38.0,Oregon,Pinot Noir,Amalie Robert,2012
965,87,50.0,Piemonte,Nebbiolo,Bersano,2012
967,87,24.0,California,Sauvignon Blanc,Carica,2015
971,87,20.0,Aquitaine,Bordeaux-style Red Blend,ChÃ¢teau de Bel,2014
980,85,19.0,California,Cabernet Sauvignon,One Hope,2006
982,85,23.0,California,Viognier,Saddleback,2008
983,83,16.0,California,Sauvignon Blanc,Emmolo,2011
984,85,35.0,California,Syrah,Alexander Valley Vineyards,2006
985,85,30.0,Washington,Red Blend,Covington,2006
986,85,12.0,Sicilia,Pinot Noir,Feudo Montoni,2008
987,85,17.0,California,White Blend,Kendall-Jackson,2008
988,85,16.0,California,Viognier,Ledgewood Creek,2007
989,85,15.0,California,White Blend,X,2008
990,85,10.0,Aquitaine,Sauvignon Blanc,ChÃ¢teau Lamothe-Vincent,2008
991,85,41.0,Veneto,"Corvina, Rondinella, Molinara",Montresor,2003
992,85,10.0,Aquitaine,Sauvignon Blanc,Yvon Mau,2007
993,85,16.0,Veneto,Cabernet Sauvignon,Bellenda,2005
994,85,25.0,California,GewÃ¼rztraminer,Breggo,2008
999,88,20.0,Oregon,Pinot Gris,Lachini,2007
1001,88,12.0,California,Sauvignon Blanc,Dancing Bull,2007
1006,88,26.0,Sicilia,White Blend,Benanti,2006
1007,88,14.0,Sicilia,Syrah,Caruso & Minini,2006
1009,88,18.0,Oregon,Pinot Gris,The Four Graces,2007
1010,88,17.0,Oregon,Riesling,Amity,2006
1013,88,60.0,Oregon,Pinot Noir,Benton-Lane,2006
1017,88,40.0,Oregon,Pinot Noir,Expression 44Â°,2006
1021,88,75.0,Oregon,Pinot Noir,The Four Graces,2005
1022,88,16.0,New York,Pinot Gris,Hunt Country Vineyards,2007
1024,88,45.0,Sicilia,Nero d'Avola,Baglio di Pianetto,2007
1025,88,42.0,California,RhÃ´ne-style Red Blend,Brecon Estate,2012
1026,88,48.0,California,Red Blend,Callaway,2010
1027,88,22.0,Sicilia,Nero d'Avola,Casa di Grazia,2011
1029,88,20.0,Alsace,GewÃ¼rztraminer,Ruhlmann,2013
1035,88,28.0,Alsace,Pinot Gris,Domaine BarmÃ¨s-Buecher,2012
1036,88,42.0,California,Sauvignon Blanc,Dragonette,2012
1037,88,13.0,Oregon,Pinot Gris,Firesteed,2013
1038,88,34.0,Oregon,Grenache,Folin Cellars,2012
1041,88,60.0,California,Chardonnay,Grgich Hills,2012
1044,88,22.0,California,Chardonnay,Ventana,2013
1045,88,10.0,Alsace,Pinot Blanc,Vieil Armand,2010
