points,price,province,variety,winery,Year
88,48.0,Sicilia,Red Blend,Abbazia Santa Anastasia,2003
87,20.0,Veneto,Red Blend,Aldegheri,2003
90,60.0,California,Cabernet Sauvignon,Sequum,2013
90,28.0,California,Cabernet Franc,Sierra Starr,2014
90,25.0,California,Chardonnay,J. Lohr,2015
90,25.0,California,Cabernet Sauvignon,Courtney Benham,2014
90,32.0,California,Zinfandel,Del Carlo Winery,2014
90,48.0,California,Red Blend,MCV,2014
90,36.0,California,Rhône-style Red Blend,Mounts,2014
90,57.0,Tuscany,Sangiovese,Podere Scopetone,2012
90,40.0,California,Chardonnay,Sixteen by Twenty,2014
85,15.0,New York,Pinot Noir,Wagner,2006
85,14.0,New York,Riesling,Treleaven,2006
85,18.0,California,Red Blend,Benessere,2005
85,16.0,New York,Gewürztraminer,Bloomer Creek,2006
85,28.0,Oregon,Pinot Noir,Silvan Ridge,2006
85,49.0,California,Syrah,Testarossa,2006
85,85.0,California,Cabernet Sauvignon,Meeker,2004
85,36.0,California,Cabernet Sauvignon,Dogwood,2005
85,34.0,California,Sangiovese,Falcor,2005
85,15.0,California,Chardonnay,Hayman & Hill,2007
85,30.0,New York,Chardonnay,Hermann J. Wiemer,2002
85,25.0,California,Merlot,Work,2004
85,45.0,Oregon,Pinot Noir,Amity,2006
85,49.0,California,Cabernet Sauvignon,Blue Rock,2005
85,22.0,Oregon,Pinot Noir,Cherry Hill,2006
89,45.0,California,Petite Sirah,David Fulton,2008
89,55.0,California,Pinot Noir,Esterlina,2009
89,40.0,Oregon,Pinot Noir,Willamette Valley Vineyards,2009
89,39.0,California,Red Blend,Beaver Creek,2008
89,60.0,California,Pinot Noir,Byron,2009
89,36.0,Veneto,White Blend,Marchesi Fumanelli,2005
89,13.0,Piemonte,White Blend,Pico Maccario,2010
89,20.0,California,Zinfandel,St. Francis,2009
89,30.0,California,Cabernet Sauvignon,Trailhead,2010
89,50.0,Oregon,Pinot Noir,Erath,2009
92,34.0,California,Pinot Noir,Cambria,2011
92,41.0,Tuscany,Red Blend,I Giusti e Zanza,2009
92,52.0,Oregon,Pinot Noir,J. Christopher,2011
92,60.0,California,Pinot Noir,Talley,2011
87,15.0,California,Cabernet Sauvignon,Aquinas,2008
87,28.0,California,Sangiovese,Benessere,2007
87,14.0,Washington,Chardonnay,Buried Cane,2009
87,56.0,Piemonte,Nebbiolo,Cascina Adelaide,2005
87,24.0,California,Zinfandel,Claudia Springs,2007
87,20.0,Piemonte,Nebbiolo,Socré,2006
87,18.0,Piemonte,Nebbiolo,Boffa,2006
87,40.0,California,Cabernet Sauvignon,Mount Veeder,2008
87,28.0,California,Cabernet Sauvignon,Robert Mondavi,2008
86,16.0,California,White Blend,Beringer,2007
86,34.0,California,Zinfandel,Brutocao,2006
86,40.0,California,Red Blend,Clos La Chance,2006
82,18.0,Alsace,Pinot Gris,Antoine Moltès & Fils,2015
82,48.0,California,Zinfandel,Pezzi King,2013
96,68.0,California,Chardonnay,Rochioli,2014
96,68.0,California,Chardonnay,Rochioli,2014
95,60.0,Piemonte,Nebbiolo,Bel Colle,2012
95,48.0,Oregon,Pinot Noir,Winderlea,2014
88,11.0,Veneto,Garganega,Montresor,2001
88,10.0,Veneto,White Blend,Gini,2002
88,19.0,California,Sauvignon Blanc,Ceago Vinegarden,2001
88,40.0,Tuscany,Sangiovese,Valiano,1997
88,9.0,Veneto,Chardonnay,Tommasi,2001
88,18.0,California,Sauvignon Blanc,Vinoce,2001
88,34.0,California,Merlot,Merriam,2000
88,17.0,California,Sauvignon Blanc,Murphy-Goode,2000
88,25.0,California,Pinot Noir,Kynsi,1999
87,12.0,California,Sauvignon Blanc,Bridlewood,2000
85,16.0,California,Zinfandel,Cline,2007
85,45.0,California,Syrah,Vino V,2005
85,20.0,New York,Gewürztraminer,McGregor,2007
85,12.0,California,Cabernet Sauvignon,Morro Bay,2006
85,14.0,New York,Riesling,Red Newt Cellars,2007
89,30.0,Washington,Merlot,Guardian,2013
89,30.0,California,White Blend,Las Positas,2014
89,18.0,New York,Rosé,Lieb,2015
89,35.0,New York,Sparkling Blend,Macari,2010
89,42.0,Washington,Syrah,Milbrandt,2013
89,30.0,California,Sauvignon Blanc,Ojai,2014
89,24.0,California,Tempranillo,ONX,2015
89,16.0,Washington,Riesling,Pomum,2014
89,89.0,Piemonte,Nebbiolo,Revello Fratelli,2012
89,54.0,California,Bordeaux-style Red Blend,Trione,2012
89,38.0,Washington,Cabernet Sauvignon,Walla Walla Vintners,2013
89,35.0,New York,Cabernet Franc,Wölffer,2013
92,35.0,Tuscany,Sangiovese,Montemercurio,2007
92,40.0,California,Chardonnay,Robert Mondavi,2011
92,45.0,California,Pinot Noir,Rusack,2011
92,50.0,Oregon,Pinot Noir,Chehalem,2011
92,29.0,Oregon,Pinot Blanc,Chehalem,2012
92,66.0,Burgundy,Chardonnay,Henri de Villamont,2010
92,60.0,Champagne-Ardenne,Champagne Blend,Vollereaux,2007
92,69.0,Veneto,Red Blend,Valentina Cubi,2008
92,65.0,Oregon,Pinot Noir,Domaine Serene,2010
92,70.0,Champagne-Ardenne,Champagne Blend,H. Blin,2003
92,73.0,Burgundy,Pinot Noir,Henri de Villamont,2010
92,72.0,Burgundy,Pinot Noir,Henri de Villamont,2010
92,88.0,California,Red Blend,Castello di Amorosa,2009
92,65.0,Aquitaine,Bordeaux-style Red Blend,Château Vray Croix de Gay,2010
87,45.0,Washington,Bordeaux-style Red Blend,Sparkman,2009
87,60.0,California,Pinot Noir,Babcock,2010
87,13.0,California,Cabernet Sauvignon,Lyeth,2010
87,30.0,Washington,Sangiovese,Zerba Cellars,2008
87,12.0,New York,Chardonnay,Knapp,2011
87,18.0,California,Chardonnay,Lava Cap,2010
87,17.0,California,Pinot Noir,Michael Pozzan,2010
87,19.0,California,Sauvignon Blanc,Hanna,2011
87,28.0,Washington,Syrah,Camaraderie,2009
87,28.0,Washington,Tempranillo,Camaraderie,2009
91,65.0,California,Red Blend,Beringer,2014
91,48.0,California,Chardonnay,Big Basin,2014
91,90.0,California,Cabernet Sauvignon,Conn Creek,2013
91,75.0,California,Pinot Noir,D.R. Stephens,2014
91,55.0,California,Pinot Noir,Davis Family,2014
91,55.0,California,Pinot Noir,Davis Family,2014
91,60.0,Burgundy,Pinot Noir,Domaine Jeannin-Naltet,2014
91,36.0,California,Grenache,Prospect 772,2014
91,35.0,California,Grenache,Qupé,2013
91,55.0,Oregon,Pinot Noir,Rex Hill,2014
91,65.0,Oregon,Pinot Noir,Ruby,2015
91,35.0,Washington,Syrah,Structure,2014
91,49.0,California,Chardonnay,Testarossa,2015
91,45.0,California,Pinot Noir,Joseph Jewell,2014
91,50.0,Oregon,Sparkling Blend,Le Cadeau,2011
91,50.0,Oregon,Pinot Noir,Le Cadeau,2015
91,50.0,Oregon,Pinot Noir,Le Cadeau,2015
91,38.0,California,Cabernet Sauvignon,Le Vigne,2014
91,50.0,Washington,Bordeaux-style Red Blend,Northstar,2013
91,45.0,Oregon,Pinot Noir,Paul O'Brien,2014
93,42.0,California,Pinot Noir,Claiborne & Churchill,2014
93,60.0,California,Pinot Noir,Flying Goat Cellars,2012
93,42.0,California,Pinot Noir,Flying Goat Cellars,2012
93,75.0,California,Cabernet Sauvignon,Midsummer Cellars,2013
93,54.0,California,Red Blend,ONX,2013
93,85.0,California,Cabernet Sauvignon,Les Belles Collines,2012
93,50.0,California,Chardonnay,Lutum,2014
93,85.0,California,Pinot Noir,Iron Horse,2013
93,90.0,Piemonte,Nebbiolo,Brandini,2011
93,35.0,California,Chardonnay,Artesa,2014
93,46.0,California,Zinfandel,Carlisle,2013
93,75.0,Washington,Cabernet Sauvignon,Passing Time,2013
93,40.0,California,Pinot Noir,Sanctuary,2013
93,25.0,California,White Blend,Terre Rouge,2014
93,45.0,California,Syrah,Limerick Lane,2013
93,50.0,California,Pinot Noir,Loring Wine Company,2014
93,65.0,California,Petite Sirah,Eighty Four,2010
93,48.0,California,Pinot Noir,Flying Goat Cellars,2012
93,62.0,California,Syrah,Four Lanterns,2013
93,100.0,California,Red Blend,Turiya,2011
93,53.0,California,Cabernet Sauvignon,World's End,2013
93,70.0,California,Cabernet Sauvignon,W.H. Smith,2012
89,38.0,Washington,Chardonnay,Alleromb,2014
89,50.0,Washington,Syrah,Ardor,2015
89,15.0,Piemonte,Dolcetto,Brezza,2015
89,14.0,Aquitaine,Bordeaux-style Red Blend,Château de l'Aubrade,2015
89,17.0,New York,Rosé,Chateau Lafayette Reneau,2016
89,13.0,California,Rosé,Cupcake,2016
89,26.0,Washington,Gewürztraminer,Savage Grace,2016
89,18.0,Washington,Merlot,Seven Falls,2013
89,25.0,Washington,Chardonnay,Stevens,2016
89,18.0,California,Chardonnay,Trinity River,2015
89,17.0,California,Chardonnay,Vintage Cowboy,2016
89,41.0,Washington,Malbec,Kontos,2014
89,30.0,Washington,Cabernet Sauvignon,L'Ecole No. 41,2014
89,36.0,California,Sangiovese,Midnight,2013
87,20.0,California,Cabernet Sauvignon,Michael Pozzan,2010
87,69.0,California,Cabernet Sauvignon,Paoletti,2010
87,36.0,New York,Cabernet Franc,Peconic Bay Winery,2010
87,25.0,Oregon,Grenache,Quady North,2011
87,25.0,Oregon,Viognier,Quady North,2011
87,17.0,California,Sauvignon Blanc,Rodney Strong,2012
87,54.0,California,Pinot Noir,Saintsbury,2010
87,19.0,Veneto,Garganega,Suavia,2011
87,45.0,California,Chardonnay,B Cellars,2011
87,35.0,California,Merlot,Barlow,2009
87,28.0,California,Pinot Noir,Claiborne & Churchill,2010
87,23.0,Veneto,Garganega,Domenico Cavazza,2008
92,75.0,California,Pinot Noir,Walt,2013
92,48.0,Oregon,Pinot Noir,WillaKenzie Estate,2013
92,54.0,Alsace,Gewürztraminer,Willm,2011
92,34.0,Alsace,Riesling,Jean-Marc Bernhard,2013
92,48.0,California,Zinfandel,Armida,2013
92,36.0,Alsace,Riesling,Domaines Schlumberger,2010
92,30.0,Alsace,Pinot Gris,Domaines Schlumberger,2012
92,37.0,California,Chardonnay,Foxen,2014
92,25.0,California,Pinot Gris,Les Belles Collines,2014
92,40.0,California,Cabernet Sauvignon,Niner,2013
92,50.0,Oregon,Pinot Noir,Purple Hands,2014
92,75.0,California,Cabernet Sauvignon,Stone The Crows,2013
92,39.0,Alsace,Riesling,Kuentz-Bas,2014
92,35.0,California,Grenache,Scratch,2013
92,43.0,Alsace,Riesling,Sipp Mack,2014
92,30.0,California,Zinfandel,St. Amant,2013
92,70.0,Oregon,Pinot Noir,Stoller,2013
90,40.0,California,Chardonnay,Vine Cliff,2013
90,45.0,Washington,Cabernet Sauvignon,Va Piano,2012
90,80.0,California,Cabernet Sauvignon,Y Rousseau,2012
90,15.0,California,Pinot Grigio,Monte Volpe,2013
90,65.0,Piemonte,Nebbiolo,Palladino,2011
90,65.0,California,Cabernet Sauvignon,Paradise Ridge,2012
90,35.0,Piemonte,Dolcetto,Pecchenino,2013
90,25.0,Piemonte,Barbera,Poderi Colla,2013
90,20.0,Washington,Riesling,Poet's Leap,2014
90,26.0,New York,Riesling,Raphael,2014
90,30.0,Washington,Malbec,Seven Hills,2013
90,13.0,Washington,Cabernet Sauvignon,Snoqualmie,2013
90,45.0,California,Petite Sirah,Stags' Leap Winery,2012
90,26.0,New York,Riesling,The Grapes of Roth,2014
90,44.0,California,Pinot Noir,The Withers Winery,2013
90,38.0,California,Cabernet Sauvignon,Truchard,2012
90,28.0,California,Pinot Noir,Acacia,2013
90,32.0,Washington,Chardonnay,Array,2012
90,35.0,Washington,Cabernet Sauvignon,Barrister,2012
90,42.0,Washington,Syrah,Bunnell,2011
90,70.0,Tuscany,Red Blend,Castello di Querceto,2010
90,30.0,Washington,Cabernet Sauvignon,Chateau Ste. Michelle,2012
90,75.0,California,Pinot Noir,Cobb,2012
90,53.0,Piemonte,Nebbiolo,Comm. G. B. Burlotto,2011
90,29.0,California,Chardonnay,Cooper-Garrod,2012
91,90.0,Washington,Cabernet Sauvignon,Mosquito Fleet,2011
91,35.0,California,Red Blend,Nadia,2012
91,50.0,California,Malbec,Nottingham Cellars,2012
91,35.0,Tuscany,Red Blend,Poggio Argentiera,2012
91,65.0,California,Cabernet Franc,Pride Mountain,2012
91,43.0,Tuscany,Red Blend,Ruffino,2010
91,20.0,Washington,Bordeaux-style Red Blend,Woodinville Wine Cellars,2012
91,38.0,California,Zinfandel,Dry Creek Vineyard,2012
91,23.0,California,Sauvignon Blanc,Dutton Estate,2013
91,48.0,California,Pinot Noir,Failla,2013
91,32.0,California,Pinot Noir,Friedeman,2013
85,80.0,Piemonte,Nebbiolo,Paolo Manzone,2012
85,16.0,California,Cabernet Sauvignon,Jack's House,2013
85,22.0,Burgundy,Pinot Noir,Domaine Michel Goubard,2014
85,32.0,California,Tempranillo,Felten Cellars,2013
85,33.0,California,Zinfandel,Pech Merle,2013
85,48.0,Piemonte,Nebbiolo,Punset,2011
87,24.0,California,Pinot Noir,William Knuttel,2007
87,75.0,New York,Cabernet Franc,Casa Larga,2008
87,12.0,Alsace,Riesling,Cave de Beblenheim,2009
87,45.0,California,Pinot Noir,De Loach,2008
87,22.0,California,Chardonnay,Center of Effort,2008
87,18.0,California,Gewürztraminer,Handley,2009
87,35.0,California,Zinfandel,Kuleto Estate,2008
87,36.0,California,Pinot Noir,Lane Tanner,2009
87,34.0,California,Pinot Noir,MacRostie,2008
87,70.0,California,Syrah,Monte De Oro,2006
87,28.0,California,Syrah,Mounts,2008
92,40.0,California,Sparkling Blend,Iron Horse,2007
92,70.0,Oregon,Pinot Noir,Patton Valley,2010
92,48.0,Oregon,Pinot Noir,Patton Valley,2010
92,72.0,Champagne-Ardenne,Chardonnay,Pierre Gimonnet et Fils,2005
92,50.0,Tuscany,White Blend,Castello d'Albola,2003
92,35.0,California,Sparkling Blend,Laetitia,2008
92,38.0,California,Zinfandel,Bella,2009
90,17.0,Washington,Cabernet Sauvignon,Barnard Griffin,2014
90,85.0,Oregon,Pinot Noir,Beacon Hill,2013
90,30.0,Aquitaine,Bordeaux-style Red Blend,Bernard Magrez,2012
90,34.0,Washington,Red Blend,Brian Carter Cellars,2012
90,45.0,Aquitaine,Bordeaux-style Red Blend,Château Haut-Logat,2014
90,17.0,Aquitaine,Bordeaux-style Red Blend,Château Mayne Vieil,2014
90,20.0,California,Cabernet Sauvignon,Chessman,2014
90,39.0,Washington,Merlot,Efeste,2013
90,35.0,Washington,Chardonnay,Efeste,2014
90,15.0,Oregon,Riesling,Firesteed,2012
90,27.0,California,Chardonnay,Iron Hub,2014
90,42.0,California,Syrah,Donkey & Goat,2013
86,18.0,Washington,Sauvignon Blanc,Finn Hill,2013
86,22.0,New York,Gewürztraminer,Keuka Spring,2013
86,20.0,Tuscany,Sangiovese,Ridolfi,2012
86,28.0,California,Malbec,Still Waters,2010
86,10.0,California,Merlot,Stomping Ground,2010
86,28.0,Tuscany,Sangiovese,Tenuta San Giorgio,2012
86,26.0,Washington,Viognier,Columbia Winery,2013
86,30.0,Piemonte,Nebbiolo,Dosio,2012
86,36.0,Washington,Syrah,Kontos,2011
86,20.0,New York,Riesling,Lamoreaux Landing,2013
86,10.0,California,Chardonnay,Leaping Horse,2013
86,25.0,Washington,Cabernet Franc,Maryhill,2011
90,33.0,Alsace,Pinot Noir,Domaine Bott-Geyl,2012
90,70.0,Burgundy,Pinot Noir,Domaine Faiveley,2014
90,20.0,California,Zinfandel,Easton,2014
90,35.0,California,Chardonnay,Edna Valley Vineyard,2013
90,28.0,California,Syrah,Fess Parker,2013
90,15.0,Oregon,Pinot Gris,Firesteed,2014
90,45.0,California,Cabernet Franc,Gershon Bachus,2009
90,40.0,Oregon,Pinot Noir,Carabella,2013
90,42.0,California,Grenache,Casa Dumetz,2014
90,29.0,California,Syrah,Greenwood Ridge,2013
90,42.0,California,Merlot,Herencia,2013
90,35.0,Aquitaine,Bordeaux-style Red Blend,Château Bel-Air Ortet,2009
90,20.0,California,Syrah,Cline,2008
90,22.0,California,Cabernet Sauvignon,Fuse,2009
90,27.0,California,Petite Sirah,Kokomo,2008
90,72.0,Washington,Cabernet Franc,Owen Roe,2009
90,58.0,Washington,Bordeaux-style Red Blend,Bergevin Lane,2008
90,29.0,Tuscany,Sangiovese,Jacopo Biondi-Santi,2008
90,45.0,Tuscany,Red Blend,Le Buche,2006
90,70.0,California,Syrah,Leonesse Cellars,2007
90,39.0,Washington,Syrah,Market Vineyards,2008
90,28.0,Tuscany,Sangiovese,Mazzei,2009
87,50.0,Piemonte,Nebbiolo,Boffa,2013
87,39.0,Piemonte,Nebbiolo,Cascina Bruciata,2013
87,35.0,Piemonte,Nebbiolo,Castello di Neive,2013
87,18.0,Oregon,Rosé,Fullerton,2015
87,25.0,Oregon,Pinot Noir,Coelho,2014
87,20.0,Oregon,Pinot Gris,Coelho,2015
87,50.0,Piemonte,Nebbiolo,Deltetto,2012
87,60.0,Piemonte,Nebbiolo,Battaglio,2013
87,20.0,California,Zinfandel,Bella Grace,2013
87,35.0,Piemonte,Nebbiolo,Borgogno F.lli Serio e Battista,2012
87,14.0,Aquitaine,Bordeaux-style Red Blend,Château les Petits Arnauds,2014
87,40.0,Oregon,Chardonnay,Chehalem,2013
87,29.0,Oregon,Pinot Blanc,Chehalem,2015
87,55.0,California,Bordeaux-style Red Blend,Cuda Ridge Wines,2013
87,34.0,California,Pinot Noir,Ektimo Vineyards,2014
87,27.0,Oregon,Viognier,Folin Cellars,2015
87,17.0,California,Chardonnay,Francis Coppola,2014
87,65.0,California,Sangiovese,Frank Family,2013
87,23.0,Piemonte,Nebbiolo,Travaglini,2014
87,40.0,California,Chardonnay,Vine Cliff,2014
87,32.0,California,Petit Verdot,Yorkville Cellars,2013
87,38.0,Oregon,Pinot Noir,Amalie Robert,2012
87,50.0,Piemonte,Nebbiolo,Bersano,2012
87,24.0,California,Sauvignon Blanc,Carica,2015
87,20.0,Aquitaine,Bordeaux-style Red Blend,Château de Bel,2014
85,19.0,California,Cabernet Sauvignon,One Hope,2006
85,23.0,California,Viognier,Saddleback,2008
85,35.0,California,Syrah,Alexander Valley Vineyards,2006
85,30.0,Washington,Red Blend,Covington,2006
85,12.0,Sicilia,Pinot Noir,Feudo Montoni,2008
85,17.0,California,White Blend,Kendall-Jackson,2008
85,16.0,California,Viognier,Ledgewood Creek,2007
85,15.0,California,White Blend,X,2008
85,10.0,Aquitaine,Sauvignon Blanc,Château Lamothe-Vincent,2008
85,41.0,Veneto,"Corvina, Rondinella, Molinara",Montresor,2003
85,10.0,Aquitaine,Sauvignon Blanc,Yvon Mau,2007
85,16.0,Veneto,Cabernet Sauvignon,Bellenda,2005
85,25.0,California,Gewürztraminer,Breggo,2008
88,20.0,Oregon,Pinot Gris,Lachini,2007
88,12.0,California,Sauvignon Blanc,Dancing Bull,2007
88,26.0,Sicilia,White Blend,Benanti,2006
88,14.0,Sicilia,Syrah,Caruso & Minini,2006
88,18.0,Oregon,Pinot Gris,The Four Graces,2007
88,17.0,Oregon,Riesling,Amity,2006
88,60.0,Oregon,Pinot Noir,Benton-Lane,2006
88,40.0,Oregon,Pinot Noir,Expression 44°,2006
88,75.0,Oregon,Pinot Noir,The Four Graces,2005
88,16.0,New York,Pinot Gris,Hunt Country Vineyards,2007
88,45.0,Sicilia,Nero d'Avola,Baglio di Pianetto,2007
88,42.0,California,Rhône-style Red Blend,Brecon Estate,2012
88,48.0,California,Red Blend,Callaway,2010
88,22.0,Sicilia,Nero d'Avola,Casa di Grazia,2011
88,20.0,Alsace,Gewürztraminer,Ruhlmann,2013
88,28.0,Alsace,Pinot Gris,Domaine Barmès-Buecher,2012
88,42.0,California,Sauvignon Blanc,Dragonette,2012
88,13.0,Oregon,Pinot Gris,Firesteed,2013
88,34.0,Oregon,Grenache,Folin Cellars,2012
88,60.0,California,Chardonnay,Grgich Hills,2012
88,22.0,California,Chardonnay,Ventana,2013
88,10.0,Alsace,Pinot Blanc,Vieil Armand,2010
88,12.0,Sicilia,Nero d'Avola,Viticultori Associati Canicatti,2012
88,28.0,Oregon,Syrah,WildAire,2012
85,16.0,California,Merlot,Irony,2004
85,10.0,California,Merlot,Little Black Dress,2006
85,12.0,California,Pinot Grigio,Estancia,2007
94,38.0,California,Zinfandel,Scott Harvey,2012
94,100.0,Oregon,Pinot Noir,Trisaetum,2014
94,95.0,Oregon,Pinot Noir,Bergström,2015
94,62.0,Oregon,Pinot Noir,Bergström,2015
94,57.0,Piemonte,Nebbiolo,Mauro Veglio,2013
94,52.0,California,Chardonnay,Shafer,2015
94,35.0,Oregon,Chardonnay,Bergström,2015
94,85.0,Oregon,Chardonnay,Big Table Farm,2015
94,32.0,Oregon,Riesling,Trisaetum,2016
94,32.0,Oregon,Riesling,Trisaetum,2016
94,85.0,California,Malbec,J. Davies,2013
94,38.0,California,Zinfandel,Tres Sabores,2014
94,32.0,Oregon,Riesling,Trisaetum,2016
94,58.0,California,Pinot Noir,Williams Selyem,2015
94,85.0,Oregon,Syrah,Cayuse,2014
94,80.0,California,Cabernet Franc,Chappellet,2013
94,75.0,California,Pinot Noir,Cobb,2014
94,50.0,Oregon,Pinot Noir,Dion,2014
94,60.0,Oregon,Pinot Noir,Drouhin Oregon Roserock,2014
90,28.0,California,Cabernet Sauvignon,Robert Mondavi,2011
90,15.0,Washington,Viognier,Stevens,2012
90,19.0,California,Chardonnay,Rutherford Ranch,2013
90,45.0,California,Chardonnay,Landmark,2012
90,13.0,Washington,Sauvignon Blanc,Mercer,2013
90,22.0,Piemonte,Nebbiolo,Nada Fiorenzo,2011
90,35.0,Washington,Cabernet Franc,Barrage Cellars,2010
90,20.0,California,Zinfandel,Berryessa Gap,2011
90,38.0,California,Rhône-style Red Blend,Bonny Doon,2010
90,70.0,Tuscany,Red Blend,Carpineto,2006
90,15.0,Washington,Sauvignon Blanc,Chateau Ste. Michelle,2013
90,38.0,Tuscany,Sangiovese,Citille di Sopra,2012
90,10.0,California,Merlot,Cookies & Cream,2010
90,56.0,California,Zinfandel,Daou,2012
90,18.0,Tuscany,Red Blend,Dei,2012
84,16.0,New York,Riesling,Three Brothers,2014
84,40.0,Washington,Pinot Gris,Wilridge,2014
84,20.0,Washington,Red Blend,Wilridge,2014
84,38.0,California,Pinot Noir,Belden Barns,2013
84,65.0,California,Cabernet Sauvignon,In Re,2011
84,15.0,Aquitaine,Bordeaux-style Red Blend,Château Vrai Caillou,2013
