province,year,variety,points
Alsace,2008,Alsace white blend,91
Piedmont,2003,Nebbiolo,91
California,2007,Cabernet Sauvignon,91
Piedmont,2001,Nebbiolo,91
Aquitaine,2003,Bordeaux-style Red Blend,91
Alsace,2008,Alsace white blend,90
Alsace,2007,Pinot Gris,90
Piedmont,2005,Barbera,90
Piedmont,2003,Nebbiolo,90
California,2007,Riesling,90
Alsace,2007,Pinot Gris,90
California,2013,Cabernet Sauvignon,91
California,2013,Pinot Noir,91
California,2010,Cabernet Sauvignon,91
California,2012,Cabernet Sauvignon,91
California,2013,Rhône-style Red Blend,91
California,2013,Cabernet Sauvignon,91
California,2012,Pinot Noir,91
California,2012,Syrah,91
California,2013,Syrah,91
Tuscany,2012,Sangiovese,91
Tuscany,2011,Sangiovese,91
California,2013,Red Blend,91
California,2014,Riesling,91
California,2013,Cabernet Franc,91
California,2012,Merlot,91
California,2014,Pinot Noir,91
Oregon,2014,Pinot Noir,91
Tuscany,2005,Sangiovese,88
California,2005,Syrah,88
Burgundy,2006,Chardonnay,88
California,2006,Chardonnay,88
California,2006,Pinot Noir,88
Tuscany,2003,Sangiovese Grosso,88
California,2007,Chardonnay,88
California,2006,Pinot Noir,88
Sicilia,2003,Red Blend,88
Veneto,2003,Red Blend,87
Burgundy,2006,Chardonnay,87
Tuscany,2005,Sangiovese,87
Tuscany,2003,Prugnolo Gentile,87
Tuscany,2007,Vernaccia,87
California,2013,Cabernet Sauvignon,90
California,2014,Cabernet Franc,90
Tuscany,2011,Sangiovese,90
California,2014,G-S-M,90
California,2015,Chardonnay,90
California,2014,Cabernet Sauvignon,90
California,2014,Zinfandel,90
California,2014,Red Blend,90
California,2014,Rhône-style Red Blend,90
Tuscany,2012,Sangiovese,90
California,2015,Fumé Blanc,90
California,2014,Chardonnay,90
Tuscany,2011,Sangiovese,90
New York,2006,Pinot Noir,85
New York,2006,Riesling,85
California,2005,Red Blend,85
New York,2006,Gewürztraminer,85
Oregon,2006,Pinot Noir,85
California,2006,Syrah,85
California,2004,Cabernet Sauvignon,85
California,2005,Cabernet Sauvignon,85
California,2005,Sangiovese,85
California,2007,Chardonnay,85
New York,2002,Chardonnay,85
California,2004,Merlot,85
Oregon,2006,Pinot Noir,85
California,2005,Cabernet Sauvignon,85
Oregon,2006,Pinot Noir,85
California,2006,Zinfandel,85
California,2008,Petite Sirah,89
California,2009,Pinot Noir,89
Oregon,2009,Pinot Noir,89
California,2008,Red Blend,89
California,2009,Pinot Noir,89
Veneto,2005,White Blend,89
Piedmont,2010,White Blend,89
California,2009,Zinfandel,89
California,2010,Cabernet Sauvignon,89
Oregon,2009,Pinot Noir,89
California,2011,Pinot Noir,92
Tuscany,2009,Red Blend,92
Oregon,2011,Pinot Noir,92
California,2011,Pinot Noir,92
California,2010,Cabernet Sauvignon,92
Aquitaine,2011,Bordeaux-style Red Blend,92
California,2008,Cabernet Sauvignon-Syrah,87
California,2008,Cabernet Sauvignon,87
Piedmont,2007,Red Blend,87
California,2007,Sangiovese,87
Washington,2009,Chardonnay,87
Piedmont,2008,Nebbiolo,87
Piedmont,2005,Nebbiolo,87
Piedmont,2004,Barbera,87
California,2007,Zinfandel,87
Burgundy,2009,Pinot Noir,87
Piedmont,2006,Nebbiolo,87
Piedmont,2006,Nebbiolo,87
California,2008,Cabernet Sauvignon,87
Piedmont,2008,Nebbiolo,87
California,2008,Cabernet Sauvignon,87
Aquitaine,2008,Bordeaux-style White Blend,86
Aquitaine,2006,Bordeaux-style White Blend,86
Veneto,2007,Prosecco,86
Veneto,2008,Prosecco,86
Veneto,2007,Prosecco,86
Veneto,2007,Prosecco,86
Veneto,2007,Prosecco,86
New York,2007,Vignoles,86
California,2007,White Blend,86
California,2006,Zinfandel,86
California,2006,Red Blend,86
Veneto,2007,Prosecco,86
Alsace,2015,Pinot Gris,82
California,2013,Zinfandel,82
Piedmont,2010,Nebbiolo,97
California,2014,Chardonnay,96
Burgundy,2014,Chardonnay,96
California,2014,Chardonnay,96
Burgundy,2013,Pinot Noir,95
Burgundy,2014,Chardonnay,95
Piedmont,2012,Nebbiolo,95
California,2012,Cabernet Sauvignon,95
Burgundy,2014,Chardonnay,95
Oregon,2014,Pinot Noir,95
Veneto,2001,Garganega,88
California,1991,Cabernet Sauvignon,88
Veneto,2002,White Blend,88
California,2001,Sauvignon Blanc,88
Tuscany,1997,Sangiovese,88
Veneto,2000,White Blend,88
Veneto,2001,Chardonnay,88
California,2001,Sauvignon Blanc,88
California,2000,Merlot,88
California,2000,Sauvignon Blanc,88
California,1999,Pinot Noir,88
California,2000,Sauvignon Blanc,87
California,2007,Zinfandel,85
Veneto,2008,Prosecco,85
Veneto,2008,Prosecco,85
California,2005,Red Blend,85
California,2005,Syrah,85
Veneto,2008,Prosecco,85
New York,2007,Gewürztraminer,85
New York,2006,Cabernet Franc,85
California,2006,Cabernet Sauvignon,85
Veneto,2008,Prosecco,85
Veneto,2007,Prosecco,85
New York,2007,Riesling,85
Aquitaine,2011,Bordeaux-style Red Blend,89
Aquitaine,2015,Bordeaux-style White Blend,89
Washington,2013,Merlot,89
Washington,2015,Grenache Blanc,89
California,2014,White Blend,89
New York,2015,Rosé,89
New York,2010,Sparkling Blend,89
Washington,2013,Syrah,89
California,2014,Sauvignon Blanc,89
California,2015,Tempranillo,89
Washington,2014,Riesling,89
California,2014,Grenache Blanc,89
Piedmont,2012,Nebbiolo,89
Piedmont,2015,Cortese,89
California,2012,Bordeaux-style Red Blend,89
Washington,2013,Cabernet Sauvignon,89
New York,2013,Cabernet Franc,89
California,2012,Zinfandel,88
Sicilia,2015,Nerello Mascalese,88
California,2014,Cabernet Sauvignon,88
Tuscany,2007,Sangiovese,92
Burgundy,2011,Chardonnay,92
California,2011,Chardonnay,92
California,2011,Pinot Noir,92
Oregon,2011,Pinot Noir,92
Oregon,2012,Pinot Blanc,92
Burgundy,2010,Chardonnay,92
Champagne-Ardenne,2007,Champagne Blend,92
Veneto,2008,Red Blend,92
Champagne-Ardenne,2007,Chardonnay,92
Oregon,2010,Pinot Noir,92
Champagne-Ardenne,2003,Champagne Blend,92
Burgundy,2010,Pinot Noir,92
Burgundy,2010,Pinot Noir,92
Champagne-Ardenne,2004,Champagne Blend,92
California,2009,Cabernet Sauvignon,92
California,2009,Red Blend,92
Aquitaine,2010,Bordeaux-style Red Blend,92
Champagne-Ardenne,2005,Champagne Blend,92
Sicilia,2006,Cannonau,87
Washington,2009,Bordeaux-style Red Blend,87
Sicilia,2008,Cannonau,87
California,2010,Pinot Noir,87
California,2010,Cabernet Sauvignon,87
Washington,2008,Sangiovese,87
Washington,2009,Red Blend,87
New York,2011,Chardonnay,87
California,2010,Chardonnay,87
California,2009,Cabernet Franc,87
California,2010,Pinot Noir,87
California,2010,Verdelho,87
California,2011,Sauvignon Blanc,87
Washington,2009,Syrah,87
Washington,2009,Tempranillo,87
California,2014,Red Blend,91
California,2014,Chardonnay,91
Champagne-Ardenne,2010,Champagne Blend,91
California,2013,Cabernet Sauvignon,91
California,2014,Pinot Noir,91
California,2014,Pinot Noir,91
California,2014,Pinot Noir,91
Burgundy,2014,Pinot Noir,91
California,2014,Grenache,91
California,2013,Marsanne,91
California,2013,Grenache,91
Oregon,2014,Pinot Noir,91
Oregon,2015,Pinot Noir,91
Washington,2014,Syrah,91
California,2015,Chardonnay,91
Oregon,2014,Pinot Noir,91
California,2014,Pinot Noir,91
Oregon,2011,Sparkling Blend,91
Oregon,2015,Pinot Noir,91
Oregon,2015,Pinot Noir,91
California,2014,Cabernet Sauvignon,91
Washington,2013,Bordeaux-style Red Blend,91
California,2012,Cabernet Sauvignon,91
Oregon,2014,Pinot Noir,91
California,2014,Pinot Noir,93
California,2012,Pinot Noir,93
California,2012,Pinot Noir,93
California,2013,Cabernet Sauvignon,93
California,2013,Red Blend,93
California,2012,Cabernet Sauvignon,93
California,2014,Chardonnay,93
California,2011,Sangiovese,93
California,2013,Pinot Noir,93
Piedmont,2011,Nebbiolo,93
California,2014,Chardonnay,93
California,2013,Zinfandel,93
Washington,2013,Cabernet Sauvignon,93
California,2013,Pinot Noir,93
California,2014,White Blend,93
California,2013,Syrah-Grenache,93
California,2013,Syrah,93
California,2014,Pinot Noir,93
California,2010,Petite Sirah,93
California,2012,Pinot Noir,93
California,2013,Syrah,93
California,2011,Red Blend,93
California,2013,Cabernet Sauvignon,93
California,2012,Cabernet Sauvignon,93
Washington,2014,Chardonnay,89
Washington,2015,Syrah,89
California,2015,Albariño,89
Piedmont,2015,Dolcetto,89
Aquitaine,2015,Bordeaux-style Red Blend,89
Aquitaine,2015,Bordeaux-style Red Blend,89
Aquitaine,2014,Bordeaux-style Red Blend,89
New York,2016,Rosé,89
Aquitaine,2015,Bordeaux-style Red Blend,89
California,2016,Rosé,89
Washington,2016,White Blend,89
Washington,2016,Gewürztraminer,89
Washington,2013,Merlot,89
California,2014,Pinot Noir,89
Washington,2016,Chardonnay,89
California,2015,Chardonnay,89
California,2016,Chardonnay,89
Washington,2014,Malbec,89
Washington,2014,Cabernet Sauvignon,89
California,2013,Sangiovese,89
California,2010,Cabernet Sauvignon,87
Piedmont,2011,Cortese,87
California,2010,Cabernet Sauvignon,87
New York,2010,Cabernet Franc,87
Oregon,2011,Grenache,87
Oregon,2011,Viognier,87
Oregon,2012,Grüner Veltliner,87
California,2012,Sauvignon Blanc,87
California,2010,Pinot Noir,87
California,2010,G-S-M,87
Veneto,2011,Garganega,87
California,2011,Chardonnay,87
Veneto,2012,Glera,87
California,2009,Merlot,87
California,2010,Pinot Noir,87
Veneto,2010,Garganega,87
Veneto,2008,Garganega,87
Piedmont,2009,White Blend,87
California,2013,Pinot Noir,92
Oregon,2013,Pinot Noir,92
Alsace,2011,Gewürztraminer,92
Alsace,2013,Riesling,92
California,2013,Zinfandel,92
Alsace,2014,Alsace white blend,92
Alsace,2010,Riesling,92
Alsace,2012,Pinot Gris,92
California,2014,Chardonnay,92
California,2014,Pinot Gris,92
California,2012,Chardonnay,92
California,2013,Cabernet Sauvignon,92
Oregon,2014,Pinot Noir,92
California,2013,Cabernet Sauvignon,92
Alsace,2014,Riesling,92
California,2013,Grenache,92
Alsace,2014,Riesling,92
California,2013,Zinfandel,92
Oregon,2013,Pinot Noir,92
California,2013,Chardonnay,90
Washington,2012,Cabernet Sauvignon,90
California,2012,Cabernet Sauvignon,90
California,2013,Pinot Grigio,90
Piedmont,2011,Nebbiolo,90
California,2012,Cabernet Sauvignon,90
Piedmont,2013,Dolcetto,90
Piedmont,2013,Barbera,90
Washington,2014,Riesling,90
New York,2014,Riesling,90
Washington,2013,Malbec,90
Washington,2013,Cabernet Sauvignon,90
California,2012,Petite Sirah,90
New York,2014,Riesling,90
California,2013,Pinot Noir,90
California,2012,Cabernet Sauvignon,90
California,2013,Pinot Noir,90
Washington,2012,Chardonnay,90
Tuscany,2011,Syrah,90
Tuscany,2012,Syrah,90
Washington,2012,Cabernet Sauvignon,90
Washington,2011,Syrah,90
Piedmont,2011,Pinot Nero,90
Tuscany,2010,Red Blend,90
Washington,2012,Cabernet Sauvignon,90
California,2012,Pinot Noir,90
Piedmont,2011,Nebbiolo,90
California,2012,Chardonnay,90
Washington,2011,Cabernet Sauvignon,91
California,2012,Red Blend,91
California,2012,Malbec,91
Tuscany,2012,Red Blend,91
California,2012,Cabernet Franc,91
Tuscany,2010,Red Blend,91
Washington,2012,Bordeaux-style Red Blend,91
California,2012,Zinfandel,91
California,2013,Sauvignon Blanc,91
California,2013,Pinot Noir,91
California,2013,Pinot Noir,91
Burgundy,2015,Chardonnay,85
Piedmont,2012,Nebbiolo,85
Oregon,2014,Pinot Noir,85
California,2013,Cabernet Sauvignon,85
Burgundy,2014,Pinot Noir,85
Burgundy,2014,Pinot Noir,85
California,2013,Tempranillo,85
Piedmont,2009,Nebbiolo,85
Burgundy,2014,Pinot Noir-Gamay,85
Burgundy,2014,Chardonnay,85
California,2013,Zinfandel,85
Piedmont,2011,Nebbiolo,85
California,2007,Pinot Noir,87
New York,2008,Cabernet Franc,87
Alsace,2009,Riesling,87
California,2008,Pinot Noir,87
Alsace,2009,Gewürztraminer,87
California,2008,Chardonnay,87
California,2009,Gewürztraminer,87
California,2008,Zinfandel,87
California,2009,Pinot Noir,87
California,2008,Pinot Noir,87
California,2006,Syrah,87
California,2008,Syrah,87
California,2007,Syrah,87
California,2008,Red Blend,87
California,2007,Sparkling Blend,92
Oregon,2010,Pinot Noir,92
Oregon,2010,Pinot Noir,92
Champagne-Ardenne,2005,Chardonnay,92
Oregon,2010,Pinot Noir,92
Champagne-Ardenne,2002,Champagne Blend,92
Tuscany,2003,White Blend,92
California,2008,Sparkling Blend,92
California,2009,Zinfandel,92
California,2013,Cabernet Sauvignon,90
Washington,2014,Cabernet Sauvignon,90
Oregon,2013,Pinot Noir,90
Aquitaine,2012,Bordeaux-style Red Blend,90
Washington,2012,Red Blend,90
California,2015,Grenache Blanc,90
Aquitaine,2014,Bordeaux-style Red Blend,90
Aquitaine,2014,Bordeaux-style Red Blend,90
Aquitaine,2014,Bordeaux-style Red Blend,90
Aquitaine,2014,Bordeaux-style Red Blend,90
Aquitaine,2012,Bordeaux-style Red Blend,90
California,2014,Cabernet Sauvignon,90
Washington,2013,Merlot,90
Washington,2014,Chardonnay,90
Oregon,2012,Riesling,90
California,2014,Chardonnay,90
California,2013,Cabernet Sauvignon,90
California,2013,Syrah,90
Tuscany,2012,Sangiovese,86
Washington,2013,Sauvignon Blanc,86
New York,2013,Gewürztraminer,86
Tuscany,2012,Sangiovese,86
California,2010,Malbec,86
California,2010,Merlot,86
Tuscany,2009,Sangiovese,86
Tuscany,2012,Sangiovese,86
Washington,2013,Viognier,86
Piedmont,2012,Nebbiolo,86
Washington,2011,Syrah,86
New York,2013,Riesling,86
California,2013,Chardonnay,86
Washington,2011,Cabernet Franc,86
Sicilia,2015,Carricante,90
Sicilia,2015,Grillo,90
Alsace,2014,Sylvaner,90
Alsace,2012,Pinot Noir,90
Burgundy,2014,Pinot Noir,90
Burgundy,2014,Pinot Noir,90
Burgundy,2014,Chardonnay,90
Burgundy,2014,Pinot Noir,90
Alsace,2014,Sylvaner,90
California,2014,Zinfandel,90
California,2013,Chardonnay,90
California,2013,Syrah,90
Oregon,2014,Pinot Gris,90
California,2012,Cabernet Sauvignon,90
California,2009,Cabernet Franc,90
Sicilia,2015,Nerello Mascalese,90
Sicilia,2015,Rosato,90
California,2012,Pinot Noir,90
Sicilia,2015,White Blend,90
Oregon,2013,Pinot Noir,90
California,2014,Grenache,90
California,2013,Syrah,90
California,2013,Merlot,90
Oregon,2015,Albariño,90
Tuscany,2008,Red Blend,90
Aquitaine,2009,Bordeaux-style Red Blend,90
Aquitaine,2009,Bordeaux-style Red Blend,90
California,2008,Syrah,90
California,2009,Cabernet Sauvignon,90
Tuscany,2008,Red Blend,90
California,2008,Petite Sirah,90
Washington,2009,Cabernet Franc,90
California,2009,Pinot Noir,90
California,2009,Viognier,90
California,2009,Pinot Noir,90
Washington,2008,Bordeaux-style Red Blend,90
Tuscany,2008,Sangiovese,90
Tuscany,2006,Red Blend,90
California,2007,Syrah,90
Washington,2008,Syrah,90
Tuscany,2005,Red Blend,90
Tuscany,2009,Sangiovese,90
Piedmont,2013,Nebbiolo,87
Piedmont,2013,Nebbiolo,87
Piedmont,2013,Nebbiolo,87
Oregon,2015,Rosé,87
Oregon,2014,Pinot Noir,87
Oregon,2015,Pinot Gris,87
Piedmont,2012,Nebbiolo,87
Piedmont,2012,Nebbiolo,87
California,2013,Muscat Blanc à Petits Grains,87
Piedmont,2013,Nebbiolo,87
California,2013,Zinfandel,87
Piedmont,2012,Nebbiolo,87
Aquitaine,2014,Bordeaux-style Red Blend,87
Aquitaine,2014,Bordeaux-style Red Blend,87
Aquitaine,2014,Bordeaux-style Red Blend,87
Aquitaine,2014,Bordeaux-style Red Blend,87
Oregon,2013,Chardonnay,87
Oregon,2015,Pinot Blanc,87
California,2013,Bordeaux-style Red Blend,87
California,2014,Pinot Noir,87
Oregon,2015,Viognier,87
California,2014,Chardonnay,87
California,2013,Sangiovese,87
Piedmont,2014,Nebbiolo,87
California,2014,Chardonnay,87
California,2013,Petit Verdot,87
Oregon,2012,Pinot Noir,87
California,2014,Cabernet Sauvignon,87
Piedmont,2012,Nebbiolo,87
California,2015,Sauvignon Blanc,87
Aquitaine,2014,Bordeaux-style Red Blend,87
Aquitaine,2014,Bordeaux-style Red Blend,87
Aquitaine,2006,Bordeaux-style Red Blend,85
Veneto,2006,Rosé,85
California,2006,Cabernet Sauvignon,85
California,2008,Viognier,85
California,2006,Syrah,85
Washington,2006,Red Blend,85
Sicilia,2008,Pinot Noir,85
California,2008,White Blend,85
California,2007,Viognier,85
California,2008,White Blend,85
Aquitaine,2008,Sauvignon Blanc,85
Veneto,2003,"Corvina, Rondinella, Molinara",85
Aquitaine,2007,Sauvignon Blanc,85
Veneto,2005,Cabernet Sauvignon,85
California,2008,Gewürztraminer,85
Oregon,2007,Pinot Gris,88
California,2007,Sauvignon Blanc,88
Sicilia,2006,White Blend,88
Sicilia,2006,Syrah,88
Oregon,2007,Pinot Gris,88
Oregon,2006,Riesling,88
Oregon,2006,Cabernet Sauvignon,88
Sicilia,2005,Nerello Mascalese,88
Oregon,2006,Pinot Noir,88
Oregon,2006,Pinot Noir,88
Oregon,2005,Pinot Noir,88
New York,2007,Pinot Gris,88
Sicilia,2007,Nero d'Avola,88
California,2012,Rhône-style Red Blend,88
California,2010,Red Blend,88
Sicilia,2011,Nero d'Avola,88
Sicilia,2013,Grillo,88
Alsace,2013,Gewürztraminer,88
California,2011,Bordeaux-style Red Blend,88
Oregon,2013,Pinot Gris,88
Sicilia,2013,Insolia,88
Alsace,2012,Pinot Gris,88
California,2012,Sauvignon Blanc,88
Oregon,2013,Pinot Gris,88
Oregon,2012,Grenache,88
California,2012,Chardonnay,88
California,2013,Chardonnay,88
Alsace,2010,Pinot Blanc,88
Sicilia,2012,Nero d'Avola,88
Sicilia,2010,Carricante,88
Oregon,2012,Syrah,88
Oregon,2006,Pinot Noir,85
California,2004,Merlot,85
California,2006,Merlot,85
California,2007,Pinot Grigio,85
California,2004,Syrah,85
Sicilia,2004,Red Blend,85
California,2012,Zinfandel,94
California,2015,Pinot Noir,94
Oregon,2014,Pinot Noir,94
Oregon,2015,Pinot Noir,94
Oregon,2015,Pinot Noir,94
Piedmont,2013,Nebbiolo,94
California,2015,Chardonnay,94
Piedmont,2013,Nebbiolo,94
Oregon,2015,Chardonnay,94
Oregon,2015,Chardonnay,94
Oregon,2016,Riesling,94
Oregon,2016,Riesling,94
Oregon,2014,Syrah,94
California,2013,Malbec,94
California,2014,Zinfandel,94
Oregon,2016,Riesling,94
California,2015,Pinot Noir,94
Oregon,2014,Syrah,94
California,2013,Cabernet Franc,94
California,2014,Pinot Noir,94
Oregon,2014,Pinot Noir,94
Oregon,2014,Pinot Noir,94
California,2011,Cabernet Sauvignon,90
Washington,2012,Viognier,90
California,2013,Chardonnay,90
California,2011,G-S-M,90
California,2012,Chardonnay,90
Washington,2013,Sauvignon Blanc,90
Piedmont,2011,Nebbiolo,90
Washington,2010,Cabernet Franc,90
California,2011,Zinfandel,90
California,2010,Rhône-style Red Blend,90
Tuscany,2006,Red Blend,90
Washington,2013,Sauvignon Blanc,90
Tuscany,2012,Sangiovese,90
California,2010,Merlot,90
California,2012,Zinfandel,90
Tuscany,2012,Red Blend,90
New York,2014,Riesling,84
Washington,2014,Pinot Gris,84
Washington,2014,Red Blend,84
California,2013,Pinot Noir,84
Aquitaine,2013,Bordeaux-style Red Blend,84
Aquitaine,2013,Bordeaux-style Red Blend,84
Aquitaine,2013,Bordeaux-style Red Blend,84
California,2011,Cabernet Sauvignon,84
Aquitaine,2014,Bordeaux-style Red Blend,84
Aquitaine,2012,Bordeaux-style Red Blend,84
Aquitaine,2013,Bordeaux-style Red Blend,84
California,2012,Red Blend,84
Sicilia,2014,Nero d'Avola,84
California,2012,Cabernet Sauvignon,84
New York,2013,Chardonnay,84
California,2012,Chardonnay,84
California,2011,Zinfandel,84
California,2012,Meritage,83
Aquitaine,2014,Bordeaux-style Red Blend,83
Washington,2013,Merlot,83
Sicilia,2013,Nero d'Avola,83
Aquitaine,2013,Bordeaux-style Red Blend,83
Washington,2004,Red Blend,87
California,2005,Petite Sirah,87
California,2005,Cabernet Sauvignon,86
California,2004,Merlot,86
Washington,2005,Bordeaux-style Red Blend,86
Veneto,2007,Prosecco,86
California,2006,Pinot Noir,86
California,2005,Pinot Noir,86
California,2014,Pinot Gris,88
Piedmont,2013,Nebbiolo,88
Piedmont,2012,Nebbiolo,88
Piedmont,2012,Nebbiolo,88
Burgundy,2014,Chardonnay,88
Burgundy,2014,Chardonnay,88
Burgundy,2014,Chardonnay,88
California,2013,Chardonnay,88
Burgundy,2014,Chardonnay,88
Oregon,2014,Chardonnay,87
Piedmont,2013,Nebbiolo,87
Burgundy,2014,Chardonnay,87
California,2014,Zinfandel,87
Piedmont,2012,Nebbiolo,87
Oregon,2014,Chardonnay,87
Piedmont,2013,Nebbiolo,93
California,2014,Cabernet Sauvignon,93
California,2014,Bordeaux-style Red Blend,93
California,2015,Pinot Noir,93
California,2013,Pinot Noir,93
California,2016,Sauvignon Blanc,93
California,2013,Syrah,93
Piedmont,2014,Barbera,93
California,2013,Syrah,93
Aquitaine,2009,Bordeaux-style Red Blend,93
California,2015,Pinot Noir,93
California,2014,Syrah,93
California,2013,Sparkling Blend,93
California,2014,Charbono,93
California,2015,Chardonnay,93
California,2015,Pinot Noir,93
California,2015,Pinot Noir,93
California,2015,Pinot Noir,93
California,2014,Red Blend,93
California,2014,Tempranillo,92
California,2015,Pinot Noir,92
California,2014,Pinot Noir,92
California,2014,Red Blend,92
California,2015,Chardonnay,92
Tuscany,2007,Sangiovese,88
Aquitaine,2006,Bordeaux-style Red Blend,88
Tuscany,2005,Sangiovese,88
Aquitaine,2003,Bordeaux-style Red Blend,88
Washington,2007,Chardonnay,88
California,2005,Bordeaux-style Red Blend,88
California,2005,Cabernet Sauvignon,88
Washington,2005,Red Blend,88
Washington,2005,Red Blend,88
Tuscany,2005,Sangiovese,88
Washington,2006,Chardonnay,88
Washington,2007,Chardonnay,88
California,2005,Cabernet Sauvignon,88
Tuscany,2004,Sangiovese Grosso,88
Sicilia,2010,White Blend,85
Sicilia,2009,Red Blend,85
California,2010,Viognier,85
New York,2010,Riesling,85
California,2007,Pinot Noir,85
California,2007,Cabernet Franc,85
Sicilia,2010,Insolia,85
California,2008,Cabernet Sauvignon,85
California,2009,Petite Sirah,85
Sicilia,2008,Nero d'Avola,84
California,2010,Chardonnay,84
Sicilia,2009,Chardonnay,84
California,2010,Merlot,84
California,2007,Cabernet Sauvignon,84
California,2010,Sauvignon Blanc,84
Sicilia,2010,Nero d'Avola,84
New York,2010,Riesling,84
Sicilia,2010,Nero d'Avola,84
Burgundy,2010,Chardonnay,84
California,2012,Cabernet Sauvignon,89
California,2012,Cabernet Sauvignon,89
California,2013,Chardonnay,89
California,2011,Syrah,89
California,2012,Chardonnay,89
Oregon,2013,Pinot Noir,89
California,2011,Zinfandel,89
California,2010,Bordeaux-style Red Blend,89
California,2013,Chardonnay,89
California,2012,Cabernet Sauvignon,89
California,2013,Petite Sirah,90
California,2013,Cabernet Sauvignon,90
California,2013,Syrah,90
California,2014,Syrah,90
California,2014,Pinot Noir,90
California,2013,Syrah,90
New York,2015,Sauvignon Blanc,90
New York,2016,Rosé,90
California,2014,G-S-M,90
California,2014,Cabernet Sauvignon,90
California,2014,Rhône-style Red Blend,90
Sicilia,2016,Grillo,90
Oregon,2015,Viognier,90
Washington,2010,Riesling,86
Sicilia,2010,Zibibbo,86
Aquitaine,2009,Bordeaux-style Red Blend,86
Aquitaine,2010,Bordeaux-style Red Blend,86
Aquitaine,2011,Rosé,86
California,2011,Red Blend,86
Washington,2010,Red Blend,86
Aquitaine,2009,Bordeaux-style Red Blend,86
California,2010,Pinot Noir,86
California,2010,Petite Sirah,86
Sicilia,2011,Grillo,86
California,2011,Rhône-style White Blend,86
Aquitaine,2008,Bordeaux-style Red Blend,86
California,2006,Chardonnay,87
California,2007,Rosé,86
California,2005,Zinfandel,86
California,2006,Mourvèdre,86
California,2005,Syrah,86
Washington,2006,Cabernet Sauvignon,86
California,2007,Rosé,86
California,2006,Viognier,86
California,2006,Verdelho,86
Oregon,2011,Malbec,88
California,2013,Pinot Noir,88
California,2014,Pinot Noir,88
California,2014,Nebbiolo,88
California,2013,Pinot Meunier,88
California,2014,White Blend,88
California,2014,Chardonnay,88
California,2012,Cabernet Sauvignon,88
California,2014,Pinot Noir,88
