points,price,province,variety,winery,Precipitation,Temperature
90,18.0,Oregon,Pinot Gris,Iris Vineyards,440.1,8.68
95,39.0,Oregon,Zinfandel,Sineann,440.1,8.68
87,24.0,Oregon,Pinot Noir,Iris Vineyards,440.1,8.68
94,86.0,Oregon,Pinot Noir,Shea,440.1,8.68
93,85.0,Oregon,Pinot Noir,Adelsheim,440.1,8.68
93,75.0,Oregon,Pinot Noir,Adelsheim,440.1,8.68
93,34.0,Oregon,Chardonnay,Alloro,440.1,8.68
93,48.0,Oregon,Chardonnay,Ayoub,440.1,8.68
93,60.0,Oregon,Pinot Noir,Shea,440.1,8.68
86,34.0,Oregon,Pinot Noir,Reustle,440.1,8.68
86,18.0,Oregon,Chardonnay,King Estate,440.1,8.68
91,28.0,Oregon,Tempranillo,Willful,440.1,8.68
83,35.0,Oregon,Pinot Noir,Zimri Cellars,440.1,8.68
92,70.0,Oregon,Pinot Noir,Domaine Serene,440.1,8.68
90,85.0,Oregon,Pinot Noir,Beacon Hill,440.1,8.68
87,25.0,Oregon,Chardonnay,Dion,440.1,8.68
91,65.0,Oregon,Syrah,Quady North,440.1,8.68
89,45.0,Oregon,Chardonnay,Lachini,440.1,8.68
89,25.0,Oregon,Cabernet Franc,Leah JÃ¸rgensen Cellars,440.1,8.68
88,32.0,Oregon,Pinot Noir,Thistle,440.1,8.68
88,28.0,Oregon,GewÃ¼rztraminer,Hyland,440.1,8.68
88,26.0,Oregon,Red Blend,Kriselle,440.1,8.68
88,19.0,Oregon,Pinot Noir,R. Stuart & Co.,440.1,8.68
92,55.0,Oregon,Pinot Noir,Knudsen,440.1,8.68
92,34.0,Oregon,Pinot Noir,Brick House,440.1,8.68
94,60.0,Oregon,Pinot Noir,BergstrÃ¶m,440.1,8.68
94,60.0,Oregon,Pinot Noir,BergstrÃ¶m,440.1,8.68
92,50.0,Oregon,Viognier,Cowhorn,440.1,8.68
94,24.0,Oregon,Riesling,Trisaetum,440.1,8.68
87,16.0,Oregon,Pinot Gris,Hawkins Cellars,440.1,8.68
92,58.0,Oregon,Pinot Noir,J. Christopher,440.1,8.68
91,40.0,Oregon,Pinot Noir,J. Christopher,440.1,8.68
93,45.0,Oregon,Chardonnay,Domaine J. Meuret,440.1,8.68
87,28.0,Oregon,Pinot Noir,Copper Belt,440.1,8.68
87,24.0,Oregon,Pinot Noir,Torii Mor,440.1,8.68
85,39.0,Oregon,Syrah,Reustle,440.1,8.68
89,40.0,Oregon,Pinot Noir,Purple Hands,440.1,8.68
87,18.0,Oregon,Syrah,Weisinger,440.1,8.68
91,38.0,Oregon,Pinot Noir,Hyland,440.1,8.68
91,22.0,Oregon,Riesling,Anam Cara,440.1,8.68
91,55.0,Oregon,Pinot Noir,Raptor Ridge,440.1,8.68
91,40.0,Oregon,Chardonnay,Roco,440.1,8.68
91,30.0,Oregon,Pinot Noir,Stoller,440.1,8.68
94,65.0,Oregon,Pinot Noir,RÃ©sonance,440.1,8.68
94,48.0,Oregon,Pinot Noir,Ayoub,440.1,8.68
94,58.0,Oregon,Pinot Noir,Cristom,440.1,8.68
87,30.0,Oregon,Malbec,Season,440.1,8.68
87,36.0,Oregon,Pinot Noir,Sparkman,440.1,8.68
91,48.0,Oregon,Pinot Noir,WillaKenzie Estate,440.1,8.68
91,65.0,Oregon,Pinot Noir,WillaKenzie Estate,440.1,8.68
91,55.0,Oregon,Pinot Noir,Willamette Valley Vineyards,440.1,8.68
91,55.0,Oregon,Pinot Noir,Willamette Valley Vineyards,440.1,8.68
91,48.0,Oregon,Pinot Noir,William Hatcher,440.1,8.68
91,55.0,Oregon,Pinot Noir,King Estate,440.1,8.68
91,32.0,Oregon,Pinot Noir,Adelsheim,440.1,8.68
91,55.0,Oregon,Pinot Noir,Aubichon Cellars,440.1,8.68
89,45.0,Oregon,Pinot Noir,Raptor Ridge,440.1,8.68
89,70.0,Oregon,Pinot Noir,Sokol Blosser,440.1,8.68
89,39.0,Oregon,Cabernet Sauvignon,Spangler,440.1,8.68
88,13.0,Oregon,Chardonnay,A to Z,440.1,8.68
88,17.0,Oregon,Pinot Gris,Benton-Lane,440.1,8.68
86,30.0,Oregon,Bordeaux-style Red Blend,Grizzly Peak,440.1,8.68
91,17.0,Oregon,Pinot Gris,Ponzi,440.1,8.68
91,20.0,Oregon,Pinot Gris,Coelho,440.1,8.68
93,29.0,Oregon,Chardonnay,DanCin,440.1,8.68
87,25.0,Oregon,Cabernet Franc,Plaisance Ranch,440.1,8.68
90,30.0,Oregon,Pinot Noir,J. Christopher,440.1,8.68
90,65.0,Oregon,Pinot Noir,Rex Hill,440.1,8.68
90,32.0,Oregon,Tempranillo,Abacela,440.1,8.68
95,85.0,Oregon,Chardonnay,BergstrÃ¶m,440.1,8.68
88,26.0,Oregon,Pinot Noir,St. Innocent,440.1,8.68
88,14.0,Oregon,Pinot Blanc,Foris,440.1,8.68
88,40.0,Oregon,Red Blend,Minimus,440.1,8.68
91,70.0,Oregon,Pinot Noir,Scott Paul,440.1,8.68
91,48.0,Oregon,Pinot Noir,Ayoub,440.1,8.68
91,60.0,Oregon,Pinot Noir,Etude,440.1,8.68
94,86.0,Oregon,Pinot Noir,Shea,440.1,8.68
93,28.0,Oregon,Pinot Noir,Love & Squalor,440.1,8.68
88,17.0,Oregon,Pinot Noir,Firesteed,440.1,8.68
88,16.0,Oregon,RosÃ©,Spindrift Cellars,440.1,8.68
89,23.0,Oregon,Pinot Noir,Cubanisimo Vineyards,440.1,8.68
88,35.0,Oregon,Pinot Noir,Trinity Vineyards,440.1,8.68
91,36.0,Oregon,Pinot Noir,Trisaetum,440.1,8.68
91,30.0,Oregon,Chardonnay,Carabella,440.1,8.68
85,25.0,Oregon,Cabernet Franc,Grizzly Peak,440.1,8.68
92,58.0,Oregon,Pinot Noir,Cristom,440.1,8.68
91,36.0,Oregon,Pinot Noir,Ayoub,440.1,8.68
88,28.0,Oregon,Tempranillo,Upper Five,440.1,8.68
88,38.0,Oregon,Pinot Noir,Winderlea,440.1,8.68
95,60.0,Oregon,Chardonnay,Ponzi,440.1,8.68
95,24.0,Oregon,Riesling,Sineann,440.1,8.68
95,42.0,Oregon,Chardonnay,Fairsing,440.1,8.68
94,60.0,Oregon,Pinot Noir,Ponzi,440.1,8.68
88,24.0,Oregon,Chardonnay,Iris Vineyards,440.1,8.68
89,25.0,Oregon,Syrah,Plaisance Ranch,440.1,8.68
89,23.0,Oregon,Tempranillo,Abacela,440.1,8.68
87,26.0,Oregon,Pinot Noir,Spindrift Cellars,440.1,8.68
89,24.0,Oregon,Pinot Noir,Patton Valley,440.1,8.68
89,14.0,Oregon,Pinot Gris,Wine by Joe,440.1,8.68
90,28.0,Oregon,Zinfandel,Troon,440.1,8.68
90,60.0,Oregon,Pinot Noir,BergstrÃ¶m,440.1,8.68
94,60.0,Oregon,Chardonnay,Ponzi,440.1,8.68
93,42.0,Oregon,Pinot Noir,Owen Roe,440.1,8.68
92,35.0,Oregon,Pinot Noir,Styring,440.1,8.68
85,42.0,Oregon,Red Blend,Day,440.1,8.68
89,32.0,Oregon,Pinot Noir,Elk Cove,440.1,8.68
88,50.0,Oregon,Pinot Noir,SolÃ©na,440.1,8.68
88,55.0,Oregon,Pinot Noir,Fullerton,440.1,8.68
88,30.0,Oregon,Pinot Noir,Plaisance Ranch,440.1,8.68
91,32.0,Oregon,Pinot Noir,Andrew Rich,440.1,8.68
91,40.0,Oregon,Pinot Noir,J. Christopher,440.1,8.68
85,15.0,Oregon,Pinot Gris,ChÃ¢teau Bianca,440.1,8.68
93,69.0,Oregon,Pinot Noir,Trisaetum,440.1,8.68
93,35.0,Oregon,Red Blend,W.T. Vintners,440.1,8.68
93,48.0,Oregon,Pinot Gris,Archery Summit,440.1,8.68
89,50.0,Oregon,Pinot Noir,Lange,440.1,8.68
86,28.0,Oregon,Cabernet Sauvignon,Silvan Ridge,440.1,8.68
86,26.0,Oregon,Pinot Noir,City Winery Chicago,440.1,8.68
93,18.0,Oregon,Riesling,Love & Squalor,440.1,8.68
89,65.0,Oregon,Pinot Noir,Winter's Hill,440.1,8.68
89,14.0,Oregon,Riesling,Willamette Valley Vineyards,440.1,8.68
90,55.0,Oregon,Pinot Noir,Willamette Valley Vineyards,440.1,8.68
90,60.0,Oregon,Pinot Noir,Torii Mor,440.1,8.68
90,65.0,Oregon,Pinot Noir,Torii Mor,440.1,8.68
91,48.0,Oregon,Pinot Noir,Winderlea,440.1,8.68
86,20.0,Oregon,Pinot Noir,Bryn Mawr Vineyards,440.1,8.68
86,19.0,Oregon,Pinot Gris,Corvallis Cellars,440.1,8.68
88,16.0,Oregon,Pinot Gris,Willamette Valley Vineyards,440.1,8.68
89,40.0,Oregon,Pinot Noir,Lundeen,440.1,8.68
87,17.0,Oregon,Pinot Noir,Rainstorm,440.1,8.68
91,28.0,Oregon,Pinot Gris,Lange,440.1,8.68
92,75.0,Oregon,Syrah,Cowhorn,440.1,8.68
89,50.0,Oregon,Pinot Noir,Durant,440.1,8.68
89,25.0,Oregon,Red Blend,William Church,440.1,8.68
91,40.0,Oregon,Pinot Noir,Argyle,440.1,8.68
91,42.0,Oregon,Pinot Noir,Bethel Heights,440.1,8.68
91,42.0,Oregon,Pinot Noir,Big Table Farm,440.1,8.68
88,22.0,Oregon,Chardonnay,Anam Cara,440.1,8.68
88,48.0,Oregon,Pinot Noir,Quintet,440.1,8.68
88,48.0,Oregon,Pinot Noir,WillaKenzie Estate,440.1,8.68
87,38.0,Oregon,Pinot Noir,Le Cadeau,440.1,8.68
87,16.0,Oregon,Riesling,Airlie,440.1,8.68
87,25.0,Oregon,Red Blend,Plaisance Ranch,440.1,8.68
87,25.0,Oregon,Chardonnay,Plaisance Ranch,440.1,8.68
87,35.0,Oregon,Pinot Noir,Youngberg Hill Vineyards,440.1,8.68
89,40.0,Oregon,Red Blend,Styring,440.1,8.68
89,65.0,Oregon,Pinot Noir,Rocky Point,440.1,8.68
89,32.0,Oregon,Pinot Noir,Spindrift Cellars,440.1,8.68
89,45.0,Oregon,Pinot Noir,Panther Creek,440.1,8.68
87,28.0,Oregon,Pinot Noir,King Estate,440.1,8.68
87,28.0,Oregon,Chardonnay,SolÃ©na,440.1,8.68
91,42.0,Oregon,Pinot Noir,Shea,440.1,8.68
91,60.0,Oregon,Pinot Noir,Shea,440.1,8.68
91,22.0,Oregon,Malbec,Silvan Ridge,440.1,8.68
91,27.0,Oregon,Malbec,Abacela,440.1,8.68
91,45.0,Oregon,Pinot Noir,Arbor Brook,440.1,8.68
85,19.0,Oregon,RosÃ©,Winter's Hill,440.1,8.68
86,15.0,Oregon,Pinot Gris,Walnut City WineWorks,440.1,8.68
86,22.0,Oregon,Pinot Noir,Lumos,440.1,8.68
92,45.0,Oregon,Pinot Noir,Styring,440.1,8.68
87,18.0,Oregon,Pinot Gris,Ancient Cellars,440.1,8.68
86,28.0,Oregon,Pinot Noir,Omero,440.1,8.68
91,30.0,Oregon,Pinot Noir,La Crema,440.1,8.68
91,48.0,Oregon,Pinot Noir,Winderlea,440.1,8.68
89,28.0,Oregon,Chardonnay,Boedecker Cellars,440.1,8.68
87,20.0,Oregon,Pinot Noir,Domaine Loubejac,440.1,8.68
90,48.0,Oregon,Pinot Noir,Love & Squalor,440.1,8.68
92,36.0,Oregon,Chardonnay,Goodfellow,440.1,8.68
92,22.0,Oregon,Pinot Gris,King Estate,440.1,8.68
88,45.0,Oregon,Pinot Noir,Torii Mor,440.1,8.68
88,60.0,Oregon,Pinot Noir,Torii Mor,440.1,8.68
88,24.0,Oregon,Dolcetto,Abacela,440.1,8.68
91,17.0,Oregon,Pinot Gris,King Estate,440.1,8.68
85,24.0,Oregon,GewÃ¼rztraminer,Weisinger,440.1,8.68
92,21.0,Oregon,Pinot Gris,WillaKenzie Estate,440.1,8.68
92,19.0,Oregon,Pinot Gris,The Eyrie Vineyards,440.1,8.68
92,22.0,Oregon,Pinot Gris,King Estate,440.1,8.68
92,21.0,Oregon,Pinot Blanc,The Eyrie Vineyards,440.1,8.68
92,35.0,Oregon,Viognier,Cowhorn,440.1,8.68
92,60.0,Oregon,Pinot Noir,Hyland,440.1,8.68
92,35.0,Oregon,Pinot Noir,Kelley Fox,440.1,8.68
89,55.0,Oregon,Pinot Noir,Dobbes Family Estate,440.1,8.68
87,28.0,Oregon,Red Blend,Jaxon,440.1,8.68
88,30.0,Oregon,Pinot Noir,Lundeen,440.1,8.68
88,15.0,Oregon,Riesling,Firesteed,440.1,8.68
86,50.0,Oregon,Chardonnay,SolÃ©na,440.1,8.68
86,22.0,Oregon,Viognier,Weisinger,440.1,8.68
92,48.0,Oregon,Pinot Noir,Big Table Farm,440.1,8.68
92,60.0,Oregon,Pinot Noir,Elk Cove,440.1,8.68
92,60.0,Oregon,Pinot Noir,Elk Cove,440.1,8.68
89,28.0,Oregon,Pinot Noir,SolÃ©na,440.1,8.68
94,75.0,Oregon,Pinot Noir,Ponzi,440.1,8.68
94,60.0,Oregon,Chardonnay,Ponzi,440.1,8.68
88,20.0,Oregon,Chardonnay,David Hill,440.1,8.68
88,50.0,Oregon,Pinot Noir,Panther Creek,440.1,8.68
87,13.0,Oregon,Pinot Gris,A to Z,440.1,8.68
87,20.0,Oregon,Pinot Noir,Left Coast Cellars,440.1,8.68
89,50.0,Oregon,Pinot Noir,Le Cadeau,440.1,8.68
89,36.0,Oregon,Pinot Noir,Expression 44Â°,440.1,8.68
88,19.0,Oregon,GewÃ¼rztraminer,Lumos,440.1,8.68
91,55.0,Oregon,Pinot Noir,Antiquum Farm,440.1,8.68
91,85.0,Oregon,Pinot Noir,Archery Summit,440.1,8.68
91,54.0,Oregon,Pinot Noir,Archery Summit,440.1,8.68
91,35.0,Oregon,Chardonnay,Willamette Valley Vineyards,440.1,8.68
91,75.0,Oregon,Pinot Noir,Winderlea,440.1,8.68
86,35.0,Oregon,Pinot Noir,Treos,440.1,8.68
88,27.0,Oregon,Viognier,Reustle,440.1,8.68
87,26.0,Oregon,Pinot Noir,Spindrift Cellars,440.1,8.68
87,17.0,Oregon,Dolcetto,Walnut City WineWorks,440.1,8.68
87,18.0,Oregon,Chardonnay,Gresser,440.1,8.68
87,22.0,Oregon,Pinot Gris,Silvan Ridge,440.1,8.68
89,20.0,Oregon,RosÃ©,Vista Hills,440.1,8.68
89,14.0,Oregon,Chardonnay,Foris,440.1,8.68
90,25.0,Oregon,Pinot Noir,Purple Hands,440.1,8.68
90,40.0,Oregon,Pinot Noir,Purple Hands,440.1,8.68
86,15.0,Oregon,Pinot Gris,Walnut City WineWorks,440.1,8.68
89,50.0,Oregon,Pinot Noir,Vidon Vineyard,440.1,8.68
88,18.0,Oregon,Chardonnay,Lundeen,440.1,8.68
92,19.0,Oregon,Pinot Gris,Lemelson,440.1,8.68
92,24.0,Oregon,Riesling,Penner-Ash,440.1,8.68
89,40.0,Oregon,Pinot Noir,Thistle,440.1,8.68
90,29.0,Oregon,Syrah,Quady North,440.1,8.68
89,65.0,Oregon,Pinot Noir,Rocky Point,440.1,8.68
89,32.0,Oregon,Pinot Noir,Spindrift Cellars,440.1,8.68
86,32.0,Oregon,Pinot Noir,The Four Graces,440.1,8.68
91,36.0,Oregon,Pinot Noir,St. Innocent,440.1,8.68
88,36.0,Oregon,Pinot Noir,Wy'East Vineyards,440.1,8.68
89,28.0,Oregon,Pinot Noir,Paul O'Brien,440.1,8.68
86,19.0,Oregon,Pinot Gris,Corvallis Cellars,440.1,8.68
91,50.0,Oregon,Pinot Noir,Lachini,440.1,8.68
93,75.0,Oregon,Chardonnay,Domaine Serene,440.1,8.68
93,50.0,Oregon,Pinot Noir,Expression 44Â°,440.1,8.68
93,85.0,Oregon,Pinot Noir,Scott Paul,440.1,8.68
93,60.0,Oregon,Pinot Noir,Shea,440.1,8.68
93,65.0,Oregon,Pinot Noir,Cristom,440.1,8.68
92,75.0,Oregon,Pinot Noir,Antiquum Farm,440.1,8.68
92,60.0,Oregon,Chardonnay,Bethel Heights,440.1,8.68
92,35.0,Oregon,Chardonnay,Ponzi,440.1,8.68
87,22.0,Oregon,Riesling,Chehalem,440.1,8.68
89,28.0,Oregon,Tempranillo,Grizzly Peak,440.1,8.68
88,55.0,Oregon,Pinot Noir,Fullerton,440.1,8.68
91,25.0,Oregon,Pinot Noir,Lange,440.1,8.68
89,23.0,Oregon,Sauvignon Blanc,Reustle,440.1,8.68
89,25.0,Oregon,Pinot Noir,Vercingetorix VX,440.1,8.68
88,25.0,Oregon,Pinot Noir,Lumos,440.1,8.68
87,14.0,Oregon,Moscato,Foris,440.1,8.68
91,52.0,Oregon,Pinot Noir,Rex Hill,440.1,8.68
