Prov_Weather,Year_Weather,Precipitation,Temperature,Timeseries
Alsace,1979,930.31,9.27,Historical
Alsace,1980,866.87,8.72,Historical
Alsace,1981,1025.36,9.35,Historical
Alsace,1982,1002.24,9.97,Historical
Alsace,1983,890.47,10.05,Historical
Alsace,1984,850.69,9.06,Historical
Alsace,1985,741.98,8.79,Historical
Alsace,1986,988.9,9.12,Historical
Alsace,1987,983.36,9.04,Historical
Alsace,1988,984.11,10.19,Historical
Alsace,1989,745.47,10.42,Historical
Alsace,1990,864.4,10.56,Historical
Alsace,1991,677.96,9.54,Historical
Alsace,1992,840.04,10.3,Historical
Alsace,1993,828.77,9.74,Historical
Alsace,1994,893.0,11.02,Historical
Alsace,1995,998.21,10.06,Historical
Alsace,1996,805.95,8.86,Historical
Alsace,1997,820.48,10.29,Historical
Alsace,1998,836.11,10.08,Historical
Alsace,1999,1066.37,10.32,Historical
Alsace,2000,897.01,10.87,Historical
Alsace,2001,1001.84,10.2,Historical
Alsace,2002,1072.66,10.77,Historical
Alsace,2003,630.86,10.54,Historical
Alsace,2004,828.18,10.01,Historical
Alsace,2005,742.25,10.0,Historical
Alsace,2006,1015.75,10.54,Historical
Alsace,2007,958.81,10.68,Historical
Alsace,2008,891.17,10.21,Historical
Alsace,2009,834.13,10.41,Historical
Alsace,2010,876.11,9.31,Historical
Alsace,2011,703.52,11.09,Historical
Alsace,2012,938.63,10.39,Historical
Alsace,2013,949.4,9.94,Historical
Alsace,2014,813.76,11.51,Historical
Alsace,2015,672.04,11.33,Historical
Alsace,2016,925.96,10.68,Historical
Alsace,2017,828.26,10.92,Historical
Alsace,2018,716.22,11.8,Historical
Alsace,2019,811.33,11.37,Historical
Alsace,2020,704.35,11.84,Historical
Aquitaine,1901,842.65,11.54,Historical
Aquitaine,1902,841.44,11.75,Historical
Aquitaine,1903,811.08,11.9,Historical
Aquitaine,1904,712.94,12.3,Historical
Aquitaine,1905,854.9,11.63,Historical
Aquitaine,1906,852.23,12.0,Historical
Aquitaine,1907,898.91,11.8,Historical
Aquitaine,1908,871.32,11.88,Historical
Aquitaine,1909,807.67,11.35,Historical
Aquitaine,1910,1063.9,11.79,Historical
Aquitaine,1911,824.18,12.49,Historical
Aquitaine,1912,779.54,11.85,Historical
Aquitaine,1913,958.68,12.33,Historical
Aquitaine,1914,894.15,11.91,Historical
Aquitaine,1915,1026.71,11.85,Historical
Aquitaine,1916,865.86,12.07,Historical
Aquitaine,1917,887.05,11.27,Historical
Aquitaine,1918,803.68,11.91,Historical
Aquitaine,1919,1073.83,11.56,Historical
Aquitaine,1920,810.22,12.2,Historical
Aquitaine,1921,661.57,12.67,Historical
Aquitaine,1922,951.02,11.72,Historical
Aquitaine,1923,988.37,12.39,Historical
Aquitaine,1924,774.76,12.13,Historical
Aquitaine,1925,853.85,11.66,Historical
Aquitaine,1926,948.42,12.78,Historical
Aquitaine,1927,1098.0,12.38,Historical
Aquitaine,1928,931.33,12.75,Historical
Aquitaine,1929,752.86,12.22,Historical
Aquitaine,1930,1183.51,12.7,Historical
Aquitaine,1931,968.0,12.01,Historical
Aquitaine,1932,1081.33,12.02,Historical
Aquitaine,1933,931.77,12.23,Historical
Aquitaine,1934,982.67,12.56,Historical
Aquitaine,1935,1061.79,12.11,Historical
Aquitaine,1936,1124.9,12.18,Historical
Aquitaine,1937,1040.11,12.78,Historical
Aquitaine,1938,885.93,12.17,Historical
Aquitaine,1939,1027.21,12.06,Historical
Aquitaine,1940,1061.76,11.82,Historical
Aquitaine,1941,1004.61,11.6,Historical
Aquitaine,1942,818.59,12.21,Historical
Aquitaine,1943,866.35,12.95,Historical
Aquitaine,1944,778.58,12.16,Historical
Aquitaine,1945,743.88,13.02,Historical
Aquitaine,1946,781.97,12.21,Historical
Aquitaine,1947,861.56,13.08,Historical
Aquitaine,1948,693.57,12.78,Historical
Aquitaine,1949,797.75,13.03,Historical
Aquitaine,1950,830.69,12.64,Historical
Aquitaine,1951,1053.87,12.3,Historical
Aquitaine,1952,968.73,12.81,Historical
Aquitaine,1953,698.01,12.53,Historical
Aquitaine,1954,838.7,12.12,Historical
Aquitaine,1955,892.91,12.93,Historical
Aquitaine,1956,812.36,11.71,Historical
Aquitaine,1957,751.99,12.38,Historical
Aquitaine,1958,991.82,12.65,Historical
Aquitaine,1959,1096.47,13.15,Historical
Aquitaine,1960,1145.83,12.56,Historical
Aquitaine,1961,882.27,13.3,Historical
Aquitaine,1962,885.21,11.98,Historical
Aquitaine,1963,978.3,11.51,Historical
Aquitaine,1964,826.53,12.41,Historical
Aquitaine,1965,1089.83,12.1,Historical
Aquitaine,1966,1104.15,12.79,Historical
Aquitaine,1967,800.64,12.57,Historical
Aquitaine,1968,990.47,12.45,Historical
Aquitaine,1969,1053.64,12.14,Historical
Aquitaine,1970,807.95,12.41,Historical
Aquitaine,1971,1023.21,12.21,Historical
Aquitaine,1972,956.43,11.92,Historical
Aquitaine,1973,812.31,12.25,Historical
Aquitaine,1974,1010.05,12.38,Historical
Aquitaine,1975,865.56,12.37,Historical
Aquitaine,1976,913.43,12.7,Historical
Aquitaine,1977,1039.79,12.37,Historical
Aquitaine,1978,919.88,12.16,Historical
Aquitaine,1979,1154.02,12.31,Historical
Aquitaine,1980,925.87,11.79,Historical
Aquitaine,1981,946.86,12.65,Historical
Aquitaine,1982,996.34,13.38,Historical
Aquitaine,1983,846.96,12.98,Historical
Aquitaine,1984,1026.62,12.27,Historical
Aquitaine,1985,787.69,12.19,Historical
Aquitaine,1986,864.54,12.47,Historical
Aquitaine,1987,831.59,12.39,Historical
Aquitaine,1988,954.18,13.01,Historical
Aquitaine,1989,706.75,13.82,Historical
Aquitaine,1990,820.27,13.75,Historical
Aquitaine,1991,826.61,12.75,Historical
Aquitaine,1992,969.37,12.85,Historical
Aquitaine,1993,972.03,12.56,Historical
Aquitaine,1994,998.74,13.85,Historical
Aquitaine,1995,879.16,13.66,Historical
Aquitaine,1996,1093.64,12.86,Historical
Aquitaine,1997,972.24,14.07,Historical
Aquitaine,1998,847.93,13.24,Historical
Aquitaine,1999,1019.51,13.55,Historical
Aquitaine,2000,995.84,13.67,Historical
Aquitaine,2001,829.55,13.29,Historical
Aquitaine,2002,917.94,13.67,Historical
Aquitaine,2003,859.96,13.85,Historical
Aquitaine,2004,881.03,13.27,Historical
Aquitaine,2005,722.74,13.12,Historical
Aquitaine,2006,847.34,13.92,Historical
Aquitaine,2007,885.36,13.25,Historical
Aquitaine,2008,1035.66,13.12,Historical
Aquitaine,2009,876.05,13.72,Historical
Aquitaine,2010,847.11,12.63,Historical
Aquitaine,2011,695.63,14.31,Historical
Aquitaine,2012,833.27,13.46,Historical
Aquitaine,2013,1103.82,13.03,Historical
Aquitaine,2014,984.17,14.33,Historical
Aquitaine,2015,789.17,14.05,Historical
Aquitaine,2016,884.1,13.76,Historical
Aquitaine,2017,826.27,13.94,Historical
Aquitaine,2018,1003.32,14.37,Historical
Aquitaine,2019,983.68,14.26,Historical
Aquitaine,2020,977.17,14.59,Historical
Burgundy,1901,769.41,9.44,Historical
Burgundy,1902,718.76,9.56,Historical
Burgundy,1903,668.17,9.86,Historical
Burgundy,1904,616.25,10.27,Historical
Burgundy,1905,675.11,9.65,Historical
Burgundy,1906,609.94,10.02,Historical
Burgundy,1907,675.05,9.81,Historical
Burgundy,1908,635.32,9.55,Historical
Burgundy,1909,765.31,9.27,Historical
Burgundy,1910,1061.94,9.99,Historical
Burgundy,1911,625.1,10.94,Historical
Burgundy,1912,768.46,9.99,Historical
Burgundy,1913,827.02,10.45,Historical
Burgundy,1914,808.63,10.08,Historical
Burgundy,1915,731.13,9.97,Historical
Burgundy,1916,862.89,10.24,Historical
Burgundy,1917,779.27,9.28,Historical
Burgundy,1918,711.59,10.29,Historical
Burgundy,1919,758.76,9.67,Historical
Burgundy,1920,625.1,10.65,Historical
Burgundy,1921,494.72,11.09,Historical
Burgundy,1922,875.98,9.64,Historical
Burgundy,1923,797.59,10.49,Historical
Burgundy,1924,688.57,9.98,Historical
Burgundy,1925,743.39,10.04,Historical
Burgundy,1926,712.07,10.68,Historical
Burgundy,1927,812.82,10.29,Historical
Burgundy,1928,784.16,10.87,Historical
Burgundy,1929,614.88,10.03,Historical
Burgundy,1930,955.44,10.74,Historical
Burgundy,1931,847.82,9.68,Historical
Burgundy,1932,766.15,10.1,Historical
Burgundy,1933,624.84,9.94,Historical
Burgundy,1934,646.98,10.94,Historical
Burgundy,1935,860.52,10.35,Historical
Burgundy,1936,723.62,10.4,Historical
Burgundy,1937,782.42,10.75,Historical
Burgundy,1938,626.51,10.34,Historical
Burgundy,1939,926.86,10.15,Historical
Burgundy,1940,829.18,9.42,Historical
Burgundy,1941,818.05,9.61,Historical
Burgundy,1942,704.55,10.01,Historical
Burgundy,1943,639.0,11.21,Historical
Burgundy,1944,785.49,10.31,Historical
Burgundy,1945,543.15,11.16,Historical
Burgundy,1946,610.95,10.55,Historical
Burgundy,1947,666.73,11.41,Historical
Burgundy,1948,706.35,10.95,Historical
Burgundy,1949,498.01,11.42,Historical
Burgundy,1950,712.74,10.88,Historical
Burgundy,1951,902.54,10.5,Historical
Burgundy,1952,862.57,10.61,Historical
Burgundy,1953,553.29,10.59,Historical
Burgundy,1954,714.49,10.1,Historical
Burgundy,1955,716.32,10.36,Historical
Burgundy,1956,774.2,9.56,Historical
Burgundy,1957,686.47,10.57,Historical
Burgundy,1958,925.52,10.49,Historical
Burgundy,1959,631.3,11.4,Historical
Burgundy,1960,900.11,10.6,Historical
Burgundy,1961,669.19,11.3,Historical
Burgundy,1962,672.56,9.56,Historical
Burgundy,1963,721.74,9.1,Historical
Burgundy,1964,532.02,10.37,Historical
Burgundy,1965,962.28,9.74,Historical
Burgundy,1966,815.61,10.66,Historical
Burgundy,1967,704.58,10.53,Historical
Burgundy,1968,906.18,10.03,Historical
Burgundy,1969,693.28,10.03,Historical
Burgundy,1970,813.96,10.09,Historical
Burgundy,1971,593.97,10.15,Historical
Burgundy,1972,677.18,9.88,Historical
Burgundy,1973,634.91,10.13,Historical
Burgundy,1974,770.88,10.7,Historical
Burgundy,1975,747.79,10.43,Historical
Burgundy,1976,593.33,10.89,Historical
Burgundy,1977,1002.94,10.53,Historical
Burgundy,1978,726.25,9.82,Historical
Burgundy,1979,918.7,10.26,Historical
Burgundy,1980,760.23,9.66,Historical
Burgundy,1981,991.23,10.38,Historical
Burgundy,1982,847.72,11.15,Historical
Burgundy,1983,825.08,10.91,Historical
Burgundy,1984,797.73,10.2,Historical
Burgundy,1985,629.28,9.71,Historical
Burgundy,1986,865.59,10.04,Historical
Burgundy,1987,856.89,9.86,Historical
Burgundy,1988,900.4,11.02,Historical
Burgundy,1989,620.66,11.38,Historical
Burgundy,1990,723.81,11.55,Historical
Burgundy,1991,621.53,10.56,Historical
Burgundy,1992,774.91,11.01,Historical
Burgundy,1993,825.26,10.6,Historical
Burgundy,1994,868.43,11.97,Historical
Burgundy,1995,866.25,11.33,Historical
Burgundy,1996,699.52,10.21,Historical
Burgundy,1997,712.75,11.51,Historical
Burgundy,1998,731.78,11.11,Historical
Burgundy,1999,927.64,11.57,Historical
Burgundy,2000,842.41,11.91,Historical
Burgundy,2001,907.11,11.21,Historical
Burgundy,2002,779.48,11.75,Historical
Burgundy,2003,595.44,11.66,Historical
Burgundy,2004,777.12,11.22,Historical
Burgundy,2005,623.58,11.24,Historical
Burgundy,2006,799.79,11.69,Historical
Burgundy,2007,848.78,11.54,Historical
Burgundy,2008,833.15,11.17,Historical
Burgundy,2009,704.32,11.54,Historical
Burgundy,2010,781.37,10.48,Historical
Burgundy,2011,659.68,12.21,Historical
Burgundy,2012,821.51,11.42,Historical
Burgundy,2013,903.23,10.9,Historical
Burgundy,2014,822.71,12.42,Historical
Burgundy,2015,610.1,12.14,Historical
Burgundy,2016,806.99,11.52,Historical
Burgundy,2017,687.73,11.84,Historical
Burgundy,2018,752.35,12.69,Historical
Burgundy,2019,691.74,12.38,Historical
Burgundy,2020,678.63,12.82,Historical
Champagne-Ardenne,1901,729.86,9.13,Historical
Champagne-Ardenne,1902,697.21,9.11,Historical
Champagne-Ardenne,1903,756.36,9.57,Historical
Champagne-Ardenne,1904,659.78,9.86,Historical
Champagne-Ardenne,1905,727.44,9.36,Historical
Champagne-Ardenne,1906,708.93,9.79,Historical
Champagne-Ardenne,1907,656.79,9.5,Historical
Champagne-Ardenne,1908,677.81,9.18,Historical
Champagne-Ardenne,1909,783.21,8.97,Historical
Champagne-Ardenne,1910,1013.88,9.83,Historical
Champagne-Ardenne,1911,656.39,10.7,Historical
Champagne-Ardenne,1912,792.25,9.81,Historical
Champagne-Ardenne,1913,775.13,10.23,Historical
Champagne-Ardenne,1914,853.93,9.92,Historical
Champagne-Ardenne,1915,818.28,9.73,Historical
Champagne-Ardenne,1916,926.58,9.99,Historical
Champagne-Ardenne,1917,782.01,8.98,Historical
Champagne-Ardenne,1918,775.17,10.05,Historical
Champagne-Ardenne,1919,833.63,9.27,Historical
Champagne-Ardenne,1920,671.81,10.32,Historical
Champagne-Ardenne,1921,449.35,10.83,Historical
Champagne-Ardenne,1922,902.17,9.27,Historical
Champagne-Ardenne,1923,870.23,10.09,Historical
Champagne-Ardenne,1924,774.71,9.58,Historical
Champagne-Ardenne,1925,875.16,9.79,Historical
Champagne-Ardenne,1926,762.76,10.37,Historical
Champagne-Ardenne,1927,825.53,9.92,Historical
Champagne-Ardenne,1928,797.2,10.49,Historical
Champagne-Ardenne,1929,643.21,9.63,Historical
Champagne-Ardenne,1930,992.61,10.51,Historical
Champagne-Ardenne,1931,854.72,9.43,Historical
Champagne-Ardenne,1932,777.02,9.9,Historical
Champagne-Ardenne,1933,607.9,9.66,Historical
Champagne-Ardenne,1934,680.33,10.78,Historical
Champagne-Ardenne,1935,856.29,10.18,Historical
Champagne-Ardenne,1936,794.37,10.13,Historical
Champagne-Ardenne,1937,849.78,10.44,Historical
Champagne-Ardenne,1938,686.85,10.16,Historical
Champagne-Ardenne,1939,1000.11,10.01,Historical
Champagne-Ardenne,1940,839.43,9.05,Historical
Champagne-Ardenne,1941,813.78,9.35,Historical
Champagne-Ardenne,1942,739.18,9.53,Historical
Champagne-Ardenne,1943,691.69,10.79,Historical
Champagne-Ardenne,1944,833.19,10.01,Historical
Champagne-Ardenne,1945,651.09,10.83,Historical
Champagne-Ardenne,1946,717.3,10.17,Historical
Champagne-Ardenne,1947,731.23,11.02,Historical
Champagne-Ardenne,1948,824.46,10.71,Historical
Champagne-Ardenne,1949,569.56,11.11,Historical
Champagne-Ardenne,1950,843.04,10.53,Historical
Champagne-Ardenne,1951,916.55,10.13,Historical
Champagne-Ardenne,1952,972.04,10.04,Historical
Champagne-Ardenne,1953,550.11,10.23,Historical
Champagne-Ardenne,1954,771.7,9.63,Historical
Champagne-Ardenne,1955,738.56,9.73,Historical
Champagne-Ardenne,1956,772.99,9.12,Historical
Champagne-Ardenne,1957,786.04,10.3,Historical
Champagne-Ardenne,1958,966.35,10.04,Historical
Champagne-Ardenne,1959,614.54,11.01,Historical
Champagne-Ardenne,1960,893.55,10.24,Historical
Champagne-Ardenne,1961,789.54,10.84,Historical
Champagne-Ardenne,1962,714.02,9.03,Historical
Champagne-Ardenne,1963,713.93,8.66,Historical
Champagne-Ardenne,1964,584.84,9.98,Historical
Champagne-Ardenne,1965,1013.26,9.31,Historical
Champagne-Ardenne,1966,951.01,10.25,Historical
Champagne-Ardenne,1967,767.24,10.19,Historical
Champagne-Ardenne,1968,848.32,9.64,Historical
Champagne-Ardenne,1969,723.79,9.74,Historical
Champagne-Ardenne,1970,864.53,9.76,Historical
Champagne-Ardenne,1971,593.9,9.96,Historical
Champagne-Ardenne,1972,732.91,9.58,Historical
Champagne-Ardenne,1973,675.0,9.96,Historical
Champagne-Ardenne,1974,887.83,10.43,Historical
Champagne-Ardenne,1975,717.62,10.24,Historical
Champagne-Ardenne,1976,546.0,10.67,Historical
Champagne-Ardenne,1977,939.48,10.28,Historical
Champagne-Ardenne,1978,783.69,9.45,Historical
Champagne-Ardenne,1979,933.28,9.76,Historical
Champagne-Ardenne,1980,850.19,9.39,Historical
Champagne-Ardenne,1981,1044.57,10.03,Historical
Champagne-Ardenne,1982,894.88,10.67,Historical
Champagne-Ardenne,1983,847.43,10.56,Historical
Champagne-Ardenne,1984,891.58,9.85,Historical
Champagne-Ardenne,1985,675.07,9.22,Historical
Champagne-Ardenne,1986,931.39,9.56,Historical
Champagne-Ardenne,1987,918.89,9.42,Historical
Champagne-Ardenne,1988,1002.42,10.71,Historical
Champagne-Ardenne,1989,728.46,11.04,Historical
Champagne-Ardenne,1990,774.46,11.25,Historical
Champagne-Ardenne,1991,653.89,10.16,Historical
Champagne-Ardenne,1992,778.99,10.81,Historical
Champagne-Ardenne,1993,859.56,10.35,Historical
Champagne-Ardenne,1994,870.6,11.6,Historical
Champagne-Ardenne,1995,884.64,11.06,Historical
Champagne-Ardenne,1996,631.42,9.64,Historical
Champagne-Ardenne,1997,780.63,11.02,Historical
Champagne-Ardenne,1998,816.34,10.77,Historical
Champagne-Ardenne,1999,938.33,11.31,Historical
Champagne-Ardenne,2000,972.42,11.54,Historical
Champagne-Ardenne,2001,1012.11,10.96,Historical
Champagne-Ardenne,2002,871.89,11.49,Historical
Champagne-Ardenne,2003,619.84,11.31,Historical
Champagne-Ardenne,2004,771.59,10.88,Historical
Champagne-Ardenne,2005,655.01,11.07,Historical
Champagne-Ardenne,2006,840.54,11.38,Historical
Champagne-Ardenne,2007,891.95,11.43,Historical
Champagne-Ardenne,2008,818.94,10.96,Historical
Champagne-Ardenne,2009,774.38,11.12,Historical
Champagne-Ardenne,2010,833.53,10.05,Historical
Champagne-Ardenne,2011,711.09,11.84,Historical
Champagne-Ardenne,2012,890.94,11.03,Historical
Champagne-Ardenne,2013,908.21,10.52,Historical
Champagne-Ardenne,2014,808.12,12.15,Historical
Champagne-Ardenne,2015,676.88,11.71,Historical
Champagne-Ardenne,2016,865.28,11.15,Historical
Champagne-Ardenne,2017,754.08,11.52,Historical
Champagne-Ardenne,2018,779.45,12.32,Historical
Champagne-Ardenne,2019,757.64,12.0,Historical
Champagne-Ardenne,2020,736.73,12.51,Historical
Piemonte,1901,1593.39,8.33,Historical
Piemonte,1902,1163.99,8.68,Historical
Piemonte,1903,1318.54,8.8,Historical
Piemonte,1904,985.7,9.47,Historical
Piemonte,1905,1448.91,8.63,Historical
Piemonte,1906,972.61,8.87,Historical
Piemonte,1907,1340.68,8.79,Historical
Piemonte,1908,988.71,8.57,Historical
Piemonte,1909,1165.24,8.26,Historical
Piemonte,1910,1407.44,8.78,Historical
Piemonte,1911,1309.19,9.61,Historical
Piemonte,1912,1206.11,8.64,Historical
Piemonte,1913,1127.52,9.03,Historical
Piemonte,1914,1506.86,8.73,Historical
Piemonte,1915,1293.17,8.72,Historical
Piemonte,1916,1503.91,9.03,Historical
Piemonte,1917,1222.68,8.25,Historical
Piemonte,1918,1190.13,8.93,Historical
Piemonte,1919,1109.06,8.56,Historical
Piemonte,1920,1458.07,9.69,Historical
Piemonte,1921,660.94,9.83,Historical
Piemonte,1922,1184.46,8.54,Historical
Piemonte,1923,1071.94,9.4,Historical
Piemonte,1924,1156.57,8.93,Historical
Piemonte,1925,1062.13,8.85,Historical
Piemonte,1926,1458.98,9.56,Historical
Piemonte,1927,1212.76,9.43,Historical
Piemonte,1928,1180.82,9.74,Historical
Piemonte,1929,961.94,8.98,Historical
Piemonte,1930,1415.25,9.56,Historical
Piemonte,1931,1149.83,8.61,Historical
Piemonte,1932,1232.41,8.9,Historical
Piemonte,1933,1176.84,8.69,Historical
Piemonte,1934,1337.63,9.62,Historical
Piemonte,1935,1359.23,9.08,Historical
Piemonte,1936,1453.84,9.27,Historical
Piemonte,1937,1443.79,9.55,Historical
Piemonte,1938,1097.31,9.1,Historical
Piemonte,1939,1287.92,8.86,Historical
Piemonte,1940,1213.28,8.23,Historical
Piemonte,1941,1362.39,8.34,Historical
Piemonte,1942,1028.78,9.13,Historical
Piemonte,1943,1047.11,10.26,Historical
Piemonte,1944,990.8,9.09,Historical
Piemonte,1945,993.73,9.98,Historical
Piemonte,1946,1173.78,9.52,Historical
Piemonte,1947,1184.25,10.1,Historical
Piemonte,1948,1213.44,9.79,Historical
Piemonte,1949,995.36,10.1,Historical
Piemonte,1950,1076.98,9.9,Historical
Piemonte,1951,1605.1,9.44,Historical
Piemonte,1952,1153.66,9.4,Historical
Piemonte,1953,1046.57,9.58,Historical
Piemonte,1954,1335.94,8.86,Historical
Piemonte,1955,1126.07,9.31,Historical
Piemonte,1956,1230.07,8.38,Historical
Piemonte,1957,1287.27,9.28,Historical
Piemonte,1958,1293.76,9.49,Historical
Piemonte,1959,1495.85,9.92,Historical
Piemonte,1960,1633.78,9.23,Historical
Piemonte,1961,1096.41,10.23,Historical
Piemonte,1962,970.31,8.88,Historical
Piemonte,1963,1491.77,8.55,Historical
Piemonte,1964,1100.2,9.55,Historical
Piemonte,1965,1125.83,8.69,Historical
Piemonte,1966,1345.32,9.51,Historical
Piemonte,1967,894.32,9.48,Historical
Piemonte,1968,1323.95,9.08,Historical
Piemonte,1969,1123.03,8.88,Historical
Piemonte,1970,1099.19,9.09,Historical
Piemonte,1971,1229.25,9.24,Historical
Piemonte,1972,1558.32,9.02,Historical
Piemonte,1973,1203.72,9.2,Historical
Piemonte,1974,1152.72,9.46,Historical
Piemonte,1975,1453.3,9.41,Historical
Piemonte,1976,1420.13,9.32,Historical
Piemonte,1977,1726.8,9.27,Historical
Piemonte,1978,1347.49,8.72,Historical
Piemonte,1979,1505.16,9.26,Historical
Piemonte,1980,1157.77,8.8,Historical
Piemonte,1981,1270.16,9.29,Historical
Piemonte,1982,1142.26,9.98,Historical
Piemonte,1983,1115.51,9.76,Historical
Piemonte,1984,1381.94,8.95,Historical
Piemonte,1985,1074.44,9.18,Historical
Piemonte,1986,1224.4,9.57,Historical
Piemonte,1987,1347.05,9.37,Historical
Piemonte,1988,1204.05,10.05,Historical
Piemonte,1989,979.66,10.11,Historical
Piemonte,1990,1144.92,10.27,Historical
Piemonte,1991,1076.45,9.5,Historical
Piemonte,1992,1299.94,9.97,Historical
Piemonte,1993,1212.11,9.68,Historical
Piemonte,1994,1382.31,10.77,Historical
Piemonte,1995,1246.83,9.95,Historical
Piemonte,1996,1366.48,9.43,Historical
Piemonte,1997,1071.59,10.52,Historical
Piemonte,1998,1042.78,10.16,Historical
Piemonte,1999,1316.23,10.19,Historical
Piemonte,2000,1348.23,10.55,Historical
Piemonte,2001,1034.21,10.16,Historical
Piemonte,2002,1588.16,10.59,Historical
Piemonte,2003,871.93,10.67,Historical
Piemonte,2004,1026.53,10.14,Historical
Piemonte,2005,966.86,9.8,Historical
Piemonte,2006,1083.12,10.56,Historical
Piemonte,2007,967.01,10.54,Historical
Piemonte,2008,1363.59,10.2,Historical
Piemonte,2009,1137.69,10.55,Historical
Piemonte,2010,1196.67,9.53,Historical
Piemonte,2011,1022.96,10.94,Historical
Piemonte,2012,1211.81,10.43,Historical
Piemonte,2013,1389.79,10.02,Historical
Piemonte,2014,1398.75,11.25,Historical
Piemonte,2015,1013.77,11.12,Historical
Piemonte,2016,1186.47,10.74,Historical
Piemonte,2017,1002.68,10.77,Historical
Piemonte,2018,1156.78,11.46,Historical
Piemonte,2019,1241.91,11.08,Historical
Piemonte,2020,1166.01,11.33,Historical
Sicilia,1901,647.7,16.02,Historical
Sicilia,1902,593.6,16.19,Historical
Sicilia,1903,399.91,15.82,Historical
Sicilia,1904,641.53,16.14,Historical
Sicilia,1905,538.73,15.79,Historical
Sicilia,1906,585.97,15.63,Historical
Sicilia,1907,496.53,15.63,Historical
Sicilia,1908,625.35,15.72,Historical
Sicilia,1909,543.19,15.7,Historical
Sicilia,1910,457.79,15.66,Historical
Sicilia,1911,678.3,16.23,Historical
Sicilia,1912,568.09,15.96,Historical
Sicilia,1913,400.92,16.28,Historical
Sicilia,1914,481.87,15.84,Historical
Sicilia,1915,636.61,16.06,Historical
Sicilia,1916,559.14,16.58,Historical
Sicilia,1917,541.12,16.09,Historical
Sicilia,1918,517.53,15.79,Historical
Sicilia,1919,436.12,15.85,Historical
Sicilia,1920,524.66,16.6,Historical
Sicilia,1921,579.58,16.14,Historical
Sicilia,1922,321.32,16.5,Historical
Sicilia,1923,440.34,16.24,Historical
Sicilia,1924,564.44,16.58,Historical
Sicilia,1925,499.55,16.24,Historical
Sicilia,1926,388.7,16.65,Historical
Sicilia,1927,502.54,16.93,Historical
